Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Plasma_PS.raw (F1),PDH_Blank_Neg.raw (F2),PDH_Blank_Pos_171003103943.raw (F3),Plasma_Neg_1.raw (F4),Plasma_Neg_2.raw (F5),Plasma_Neg_3.raw (F6),Plasma_Pos_1.raw (F7),Plasma_Pos_2.raw (F8),Plasma_Pos_3.raw (F9),
0.948,503.30991,+,38313.04389,,,3,,38313.04389,0.0,3993.791552,0.0,0.0,0.0,11866.85201,15938.64146,13968.90393,
0.954,495.18933,+,53551.99313,,,4,,53551.99313,0.0,17307.61474,0.0,0.0,0.0,46161.02666,50391.7516,43445.77956,
1.037,297.24255,-,47788.48658,,,2,,39760.78032,8930.522501,0.0,31709.98103,47788.48658,35635.28254,0.0,0.0,0.0,
1.039,504.30365,+,40333.3821,,,2,,40333.3821,3379.010084,907.6839915,8730.666054,18917.21908,17278.929,25519.84928,24504.17173,32762.43921,
1.046,518.32031,+,415712.6402,LysoPC 18:3,LysoPC,4,,415712.6402,0.0,37274.53674,0.0,0.0,0.0,389083.3154,386541.0853,404977.4797,
1.053,452.27658,-,81019.81258,,,4,,57770.43565,2105.357216,8446.490726,81019.81258,62792.78903,79106.59966,16767.01073,18310.18011,13935.96361,
1.072,409.02597,-,32253.89823,,,4,,19118.79473,3835.418708,0.0,16020.75711,22573.72068,32253.89823,0.0,0.0,0.0,
1.075,444.25748,+,51259.84287,,,4,,51259.84287,0.0,9468.554195,0.0,0.0,0.0,34998.44712,31768.99635,32898.72802,
1.076,529.09296,-,22382.76275,,,3,,6947.366007,5786.759747,0.0,15336.74083,22382.76275,16235.58345,0.0,0.0,0.0,
1.079,604.36078,-,110651.9714,LysoPC 20:3,LysoPC,3,Redundant Identification,75784.73183,2354.334887,0.0,88468.58313,110651.9714,92255.83604,0.0,0.0,0.0,
1.085,382.01825,-,48717.69576,,,2,,7520.376666,15654.62506,0.0,36615.86435,48717.69576,36132.58886,0.0,0.0,0.0,
1.096,546.35443,+,351687.8191,LysoPC 20:3,LysoPC,5,,227986.0585,0.0,15452.47543,0.0,0.0,0.0,287719.6756,316272.5843,351687.8191,
1.098,344.99753,-,39550.26838,,,2,,12041.03977,5994.696655,0.0,39550.26838,33061.66965,14990.26362,0.0,0.0,0.0,
1.098,423.32108,+,23644.88055,,,4,,18784.02206,0.0,5621.552836,0.0,0.0,0.0,23644.88055,22052.10861,22015.4281,
1.118,313.07776,-,37627.74516,,,2,,37627.74516,597.3535113,0.0,718.3598816,5612.049221,32608.89213,0.0,0.0,0.0,
1.287,480.30801,-,2331648.51,LysoPC 15:0,LysoPC,4,,1074731.593,56133.32443,4002.900064,2331648.51,2153233.274,969032.5237,84085.18922,85466.83487,87073.61214,
1.304,524.27649,-,33881.14356,,,3,Adduct of existing peak,33881.14356,202.5958814,1164.263978,18487.41094,19183.77629,21260.37761,15540.54661,15614.48806,16001.69928,
1.309,626.34448,-,23339.77175,,,3,Adduct of existing peak,23339.77175,194.207187,0.0,17951.89992,16518.33405,19465.61468,0.0,0.0,0.0,
1.327,568.33838,+,95676.25317,LysoPC 22:6,LysoPC,2,,95676.25317,0.0,5955.695489,0.0,0.0,0.0,81202.56272,75655.98114,79383.09693,
1.331,339.19861,-,149463.0729,,,3,,66946.27413,45156.48035,0.0,148320.3449,149463.0729,142063.7757,0.0,0.0,0.0,
1.342,500.27676,-,123498.4099,LysoPE 20:4,LysoPE,7,,123498.4099,586.0391956,710.8956848,55395.01385,70777.94765,77099.76163,41737.20665,41438.19139,43607.79194,
1.352,528.30768,-,40299.79506,,,3,Adduct of existing peak,40299.79506,325.3238643,0.0,33276.67559,34599.08102,38505.94986,0.0,0.0,0.0,
1.354,602.34448,-,228568.5003,LysoPC 20:4,LysoPC,3,Redundant Identification,228568.5003,3589.791727,0.0,194513.3052,201759.1313,211301.6646,0.0,0.0,0.0,
1.358,476.2756,-,229615.878,LysoPE 18:2,LysoPE,6,,229615.878,1609.504925,1214.819474,96513.15415,117462.8252,135642.3851,66411.39191,64613.64867,66470.88112,
1.365,544.3382,+,994530.0684,LysoPC 20:4,LysoPC,6,,994530.0684,0.0,15066.9638,0.0,0.0,0.0,724359.4168,792273.4051,844221.7911,
1.367,720.35626,-,20403.437,,,3,Adduct of existing peak,20403.437,206.1484157,0.0,18026.11067,18568.58108,18400.83027,0.0,0.0,0.0,
1.368,1073.67493,-,22989.75539,,,2,,22989.75539,221.1607531,0.0,11633.50441,16357.47633,19134.01963,0.0,0.0,0.0,
1.369,578.34436,-,1003698.603,LysoPC 18:2,LysoPC,4,Redundant Identification,1003698.603,18426.96376,0.0,834410.2345,819269.6395,771519.2237,0.0,0.0,0.0,
1.369,642.30707,+,20996.81953,,,3,Adduct of existing peak,20996.81953,0.0,1065.15458,0.0,0.0,0.0,18997.4279,20444.53397,15654.46077,
1.37,504.30786,-,195577.7513,,,4,In-source fragment,166345.7168,3204.627543,0.0,176702.5056,178575.1864,195577.7513,0.0,0.0,0.0,
1.37,626.32977,+,19814.14303,,,3,Adduct of existing peak,19814.14303,0.0,2385.860295,0.0,0.0,0.0,15066.75193,16577.55194,15922.70647,
1.37,660.34814,-,17088.07315,,,4,Adduct of existing peak,17088.07315,218.0519797,0.0,15217.65716,16477.59564,16611.68157,0.0,0.0,0.0,
1.371,564.32886,-,29312.36857,,,4,Adduct of existing peak,21803.00637,206.8609787,0.0,29312.36857,26896.74359,24078.07197,0.0,0.0,0.0,
