Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Plasma_PS.raw (F1),PDH_Blank_Neg.raw (F2),PDH_Blank_Pos_171003103943.raw (F3),Plasma_Neg_1.raw (F4)+Plasma_Pos_1.raw (F7),Plasma_Neg_2.raw (F5)+Plasma_Pos_2.raw (F8),Plasma_Neg_3.raw (F6)+Plasma_Pos_3.raw (F9),
1.573,838.56995,+,2224241.579,,,3,2224241.579,0.0,28128.90295,1058331.072,23962.6584,903665.4707,
1.614,554.39124,+,385104.1468,,,2,385104.1468,0.0,2420.312102,5743.43981,5312.608137,5453.658498,
1.617,546.35394,+,708683.5453,LysoPC 20:3,LysoPC,8,708683.5453,0.0,8615.192843,705257.4623,587223.505,706261.8467,
1.623,452.27658,-,316086.1661,LysoPE 16:0,LysoPE,7,316086.1661,2301.77713,1415.240461,241333.1755,227363.639,241419.7864,
1.628,526.29114,-,21251.462,LysoPE 22:5,LysoPE,2,7771.246205,209.0155521,0.0,18807.97798,21251.462,15139.36073,
1.64,876.33862,-,42175.21776,,,3,25335.16377,957.3316759,0.0,42175.21776,26835.1797,25948.86574,
1.643,794.33582,-,54195.39887,,,4,50690.42891,1842.627694,0.0,54195.39887,42294.77671,48807.48659,
1.644,896.33362,-,27601.60431,,,2,23358.21428,854.6800475,0.0,22348.47082,27601.60431,19884.96263,
1.645,557.3186,-,32461.85827,,,3,32461.85827,210.8429361,0.0,20342.15278,18804.58298,28830.51249,
1.648,636.34784,-,279393.1991,,,4,159019.7878,4147.124526,0.0,164136.9045,279393.1991,156569.1153,
1.648,712.33392,-,278400.6246,,,4,164596.447,5619.809628,0.0,278400.6246,239112.8404,154842.1835,
1.648,391.22443,-,40820.50531,,,3,25545.14794,593.0402218,0.0,38962.90054,38983.66595,40820.50531,
1.648,1207.66394,-,40746.10196,,,4,36652.93177,177.9528386,0.0,39348.1354,36994.0287,40746.10196,
1.649,480.30801,-,3037714.405,,,5,2259958.406,85717.29533,0.0,2367941.14,3037714.405,2119637.186,
1.651,1289.66626,-,23614.11147,,,4,19510.24188,164.916444,0.0,22105.13422,23520.34322,23614.11147,
1.652,495.34082,+,1.129705083E7,,,3,1.129705083E7,0.0,280691.2474,1273142.579,1230006.298,8347466.321,
1.667,676.29608,+,212585.3644,,,4,139293.1467,0.0,4606.867444,149088.8666,131285.639,212585.3644,
1.671,496.33847,+,3.450411191E7,LysoPC 16:0,LysoPC,5,3.450411191E7,0.0,1199682.566,3.263878805E7,3.185501613E7,3.38654488E7,
1.671,594.30634,+,928524.2031,,,5,782673.3322,0.0,23791.55378,614724.8304,884959.7062,928524.2031,
1.671,599.43787,+,673962.2018,,,4,673962.2018,0.0,1015.482844,499835.6819,521282.1886,572449.1136,
1.673,1039.66785,+,152331.3721,,,4,152331.3721,0.0,1324.205545,120849.0856,130737.6454,130795.589,
1.673,709.41663,+,57878.44955,,,3,11324.1513,0.0,1731.104438,57003.70016,50711.29719,57878.44955,
1.674,778.29388,+,27262.72715,,,2,5765.923832,0.0,1686.444487,20852.05344,27262.72715,20807.18892,
1.677,459.24722,+,61482.44836,,,3,29849.38525,0.0,1541.150668,61482.44836,56685.83686,50321.7143,
1.682,625.45447,+,60691.54179,,,3,60691.54179,0.0,1437.238364,40399.00006,48320.26346,48013.09674,
1.684,522.35425,+,7023778.74,LysoPC 18:1,LysoPC,8,7023778.74,0.0,197634.6386,5331331.918,5586455.186,5480453.371,
1.685,496.13638,+,64378.76153,,,2,54494.05625,0.0,895.7159597,58795.62187,64378.76153,43724.32703,
1.699,321.20941,-,63359.45756,,,4,39997.7805,6059.582671,0.0,57019.39844,59411.56119,63359.45756,
1.705,969.64557,+,282499.1985,,,5,39486.87606,0.0,64535.44525,282499.1985,48510.18961,38694.03975,
1.707,478.29263,-,435470.6849,LysoPE 18:1,LysoPE,5,435470.6849,5305.69642,5448.545643,203779.5698,239059.905,187105.8824,
1.718,857.50201,-,20323.92416,,,3,2075.149771,5585.680056,0.0,18333.48163,20323.92416,19393.27267,
1.79,661.46283,+,511979.3265,,,5,30965.31306,0.0,43837.09841,511979.3265,22876.6512,28990.48267,
1.806,581.36511,+,26355.15388,,,4,23813.28189,0.0,1469.6864,20804.46153,18747.54659,26355.15388,
1.838,806.58264,+,217930.6915,,,5,199579.9781,0.0,70298.63983,143092.6906,156828.9679,217930.6915,
1.846,738.34985,-,43320.73473,,,4,38520.01778,372.4763964,0.0,41108.91037,43320.73473,40597.82197,
1.846,662.3642,-,41908.86155,,,4,40042.10461,443.683166,0.0,37029.87264,41908.86155,38123.26899,
1.847,480.30829,+,219422.2321,LysoPE 18:1,LysoPE,2,219422.2321,0.0,5448.545643,119077.7531,114545.4505,116621.9658,
1.858,438.29654,+,94901.94094,,,7,94901.94094,555.2403508,971.8941011,39885.17542,38804.7243,36403.87172,
1.865,522.35425,+,7919679.825,LysoPC 18:1,LysoPC,10,7919679.825,0.0,316829.4391,7054016.342,6907125.109,6887325.02,
1.869,453.21964,+,1809526.597,,,9,1809526.597,139386.5021,110709.7519,794242.0584,531624.17,650889.0001,
1.869,620.32214,+,183026.5232,,,4,183026.5232,0.0,1246.79378,165240.2019,144765.9964,139133.6089,
1.898,480.3439,+,330901.7403,,,4,330901.7403,0.0,11570.15048,274387.2244,295096.8511,258540.1691,
1.906,572.37018,+,91061.04958,LysoPC 22:4,LysoPC,4,91061.04958,0.0,1976.663494,42814.32806,40111.02207,42219.5513,
1.913,466.32898,-,16369.06661,,,4,16369.06661,288.5573136,0.0,15855.0044,15623.77216,14962.94332,
1.915,498.39908,+,1624990.744,,,5,1624990.744,0.0,470786.5395,674711.5712,655578.0933,647632.7279,
1.917,454.37274,+,1199142.451,,,5,1199142.451,0.0,148556.9617,260197.0944,187053.8458,178188.1853,
1.927,426.35672,+,41479.69215,AC 18:1,AC,4,41479.69215,0.0,1261.751883,32555.64719,33703.35739,34083.05162,
1.94,482.35953,+,328942.4382,,,5,328942.4382,0.0,9792.515997,259906.7519,261817.3881,252428.6746,
1.959,494.3244,-,48329.51625,,,3,42428.3948,616.2497569,0.0,48329.51625,42147.83637,28583.16696,
1.968,473.28085,-,34031.33764,,,3,11069.19656,6126.902672,0.0,31035.73204,31505.55194,34031.33764,
1.993,510.35489,+,1241046.044,LysoPC 17:0,LysoPC,5,1241046.044,0.0,35343.51632,729411.56,712652.1053,799203.5344,
2.088,467.34723,+,112179.2232,,,3,112049.9855,0.0,28331.66266,112179.2232,77188.8023,77565.86914,
2.095,464.3129,+,37171.61723,,,4,37171.61723,0.0,3937.71019,24513.96438,21205.61932,21657.79298,
2.125,548.37024,+,108665.0259,LysoPC 20:2,LysoPC,8,108665.0259,0.0,1756.458091,87241.64,85805.97088,97628.90681,
2.172,508.37567,+,255323.8585,,,4,255323.8585,0.0,5358.13772,205402.2894,199451.7405,201996.7409,
2.178,489.25906,-,135874.5236,,,4,73628.00161,16158.26966,0.0,127972.8994,132147.9983,135874.5236,
2.226,301.21634,-,58522.28331,,,4,36460.36995,1165.79338,0.0,51381.55955,58522.28331,36859.95158,
2.36,536.37079,+,36356.88675,,,3,33750.27851,0.0,417.2228206,26084.73286,23050.22255,36356.88675,
2.382,487.32916,+,135642.1829,,,4,135642.1829,0.0,2124.077009,68846.44232,63595.69934,61654.22711,
2.39,349.24081,-,66999.00416,,,2,27798.89061,6644.055121,0.0,59719.93478,64311.4178,66999.00416,
