row ID,row m/z,row retention time,row comment,row number of detected peaks,Hap1_Blank.raw Peak status,Hap1_Blank.raw Peak m/z,Hap1_Blank.raw Peak RT,Hap1_Blank.raw Peak height,Hap1_Blank.raw Peak area,Hap1_Blank.raw Peak charge,Hap1_Blank.raw Peak FWHM,Hap1_Neg_3.raw Peak status,Hap1_Neg_3.raw Peak m/z,Hap1_Neg_3.raw Peak RT,Hap1_Neg_3.raw Peak height,Hap1_Neg_3.raw Peak area,Hap1_Neg_3.raw Peak charge,Hap1_Neg_3.raw Peak FWHM,Hap1_Neg_1.raw Peak status,Hap1_Neg_1.raw Peak m/z,Hap1_Neg_1.raw Peak RT,Hap1_Neg_1.raw Peak height,Hap1_Neg_1.raw Peak area,Hap1_Neg_1.raw Peak charge,Hap1_Neg_1.raw Peak FWHM,Hap1_Neg_2.raw Peak status,Hap1_Neg_2.raw Peak m/z,Hap1_Neg_2.raw Peak RT,Hap1_Neg_2.raw Peak height,Hap1_Neg_2.raw Peak area,Hap1_Neg_2.raw Peak charge,Hap1_Neg_2.raw Peak FWHM,
229,953.6909993489584,11.788930666666667,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,953.6909790039062,11.7948,3.9010472E7,2.4657115656945994E8,1,0.10211185103972653,DETECTED,953.6905517578125,11.799458,3.8808328E7,2.6121415422639388E8,1,0.1068538667455936,DETECTED,953.6914672851562,11.772534,4.097616E7,2.566598909253754E8,1,0.10544741900173626,
230,1397.9317220052083,14.595556000000002,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,1397.93115234375,14.613929,3.8777512E7,3.196010115794286E8,1,0.11820605562707165,DETECTED,1397.932373046875,14.592837,3.8524068E7,3.315389854067495E8,1,0.12381459031471742,DETECTED,1397.931640625,14.579902,3.6885968E7,3.1738559710865843E8,1,0.12237094409384497,
231,791.541015625,9.574628950000001,,2,ESTIMATED,791.5455322265625,9.6322127,28297.962890625,31663.15528749539,0,0.29501407252185174,DETECTED,791.5423583984375,9.5501663,3.8757092E7,3.42147436076654E8,1,0.09524967158989561,DETECTED,791.538330078125,9.5779493,3.750146E7,3.403367328943929E8,1,0.09839100715173466,ESTIMATED,791.537841796875,9.5381875,3.8210392E7,3.3806682993730325E8,0,0.10010935337649052,
232,303.23058700561523,1.2158639525,,3,ESTIMATED,303.2303924560547,0.98593391,5028.177734375,41201.713448923,0,0.31135325298770955,DETECTED,303.2306213378906,1.2910663,3.8605808E7,2.2390103458036175E8,1,0.08617428174396125,DETECTED,303.23065185546875,1.2906638,3.9316832E7,2.058292138928793E8,1,0.0854792715701409,DETECTED,303.2306823730469,1.2957918,4.2495848E7,2.2880549128162378E8,1,0.08732251722305451,
233,822.5233866373698,8.156866666666666,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,822.5233154296875,8.1538459,3.8568036E7,1.6585660457195142E8,1,0.06602947567124495,DETECTED,822.5234985351562,8.1732871,3.7375272E7,1.6074032912536564E8,1,0.05976539843795692,DETECTED,822.5233459472656,8.143467,4.3517488E7,1.8053336085858274E8,1,0.0662574990297955,
234,311.29380798339844,7.65643515,,2,ESTIMATED,311.29559326171875,7.417492,450065.5625,2856618.237236023,0,0.0777852861936168,DETECTED,311.2932434082031,7.7381683,3.8377916E7,1.3782959340083507E8,1,0.04948077590841127,ESTIMATED,311.2931213378906,7.7471075,3.7404052E7,1.4301160884596244E8,0,0.054060709645765925,DETECTED,311.29327392578125,7.7229728,4.0837164E7,1.4480453306700236E8,1,0.04648009592659985,
235,1522.0917561848958,9.1124679,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,1522.089111328125,9.1106346,3.8274232E7,2.8695474421992975E8,1,0.14222129627001578,DETECTED,1522.0921630859375,9.1170321,3.5160928E7,2.897082521328027E8,1,0.14793998045129975,DETECTED,1522.093994140625,9.109737,3.9968796E7,2.962097145869362E8,1,0.14544583956715762,
236,1510.0757853190105,10.147357,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,1510.0809936523438,10.152084,3.7971616E7,1.6692758075234595E8,1,0.06557525310467227,DETECTED,1510.072998046875,10.159961,3.6745804E7,1.8078770271982098E8,1,0.06514457419673825,DETECTED,1510.0733642578125,10.130026,3.5655872E7,1.7278214574298877E8,1,0.06806512477911397,
237,707.5913314819336,12.119797,,2,ESTIMATED,707.5953979492188,12.211963,13515.4423828125,17909.10010450193,0,0.2508072755217512,DETECTED,707.5894775390625,12.099034,3.7815912E7,2.0550061095167726E8,1,0.0903634143047718,ESTIMATED,707.5906677246094,12.091571,2.777591E7,1.8282909810313502E8,1,0.09854749354422587,DETECTED,707.5897827148438,12.07662,3.9552476E7,2.5371346856798822E8,1,0.0913894893323075,
238,760.4876403808594,8.175361066666666,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,760.4877319335938,8.1760583,3.7207464E7,2.39712410430057E8,1,0.07144005465354297,DETECTED,760.487548828125,8.1732871,3.457508E7,2.33387819071502E8,1,0.07661962739309658,DETECTED,760.4876403808594,8.1767378,4.2343616E7,2.622385444984954E8,1,0.14144524710713746,
239,1470.03662109375,8.885755099999999,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,1470.0424194335938,8.8875968,3.7124852E7,1.1611708808292428E8,1,0.05396196972815481,DETECTED,1470.034912109375,8.8936298,3.4667716E7,1.0790029005479518E8,1,0.05296748678467189,DETECTED,1470.0325317382812,8.8760387,3.864608E7,1.2106105057323918E8,1,0.05484935419110215,
240,845.5197957356771,7.5778361,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,845.5196533203125,7.5796409,3.7089268E7,2.744973199485152E8,1,0.07444002684650997,DETECTED,845.5199584960938,7.5891365,3.3156956E7,2.5764714957244676E8,1,0.08713324655939925,DETECTED,845.519775390625,7.5647309,3.9586564E7,3.0559252768858105E8,1,0.07861351941287609,
241,776.5509440104166,10.378965333333333,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,776.5499267578125,10.387403,3.6925948E7,3.560239919530424E8,1,0.15508370734534616,DETECTED,776.54931640625,10.384425,3.2844926E7,3.500736092380191E8,1,0.17751667558814255,DETECTED,776.5535888671875,10.365068,3.6391212E7,3.747574838769873E8,1,0.2893242908938909,
242,806.6231689553833,11.44445825,,3,ESTIMATED,806.627136270752,11.547708,30318.65625,110312.40413613236,0,0.15114059080556963,DETECTED,806.62158203125,11.419275,3.6759308E7,1.814740266866483E8,1,0.0767587304705124,DETECTED,806.6221923828125,11.414727,3.7362812E7,2.050994991007512E8,1,0.08540586894260471,DETECTED,806.6217651367188,11.396123,3.8269908E7,1.8763270015664855E8,1,0.07679056211619617,
243,1421.9351399739583,15.166618,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,1421.93505859375,15.176538,3.6672252E7,3.0212968518499094E8,1,0.131287979574493,DETECTED,1421.9354248046875,15.164073,3.8987948E7,3.1407119646215487E8,1,0.13069202010865588,DETECTED,1421.9349365234375,15.159243,3.7783884E7,3.1354027896951526E8,1,0.12592296001565373,
244,752.5546162923177,10.718694,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,752.55419921875,10.723695,3.6221772E7,1.8011017053890857E8,1,0.07364900415670839,DETECTED,752.5546875,10.720038,3.4735852E7,1.8554803172123247E8,1,0.08230654154426986,DETECTED,752.5549621582031,10.712349,3.8518728E7,1.849370870852159E8,1,0.07178127337951423,
245,747.5630594889323,8.315220966666667,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,747.5609741210938,8.3234502,3.6137056E7,1.417880457145981E8,1,0.06366975173825473,DETECTED,747.5648498535156,8.3204352,3.628468E7,1.4311025267416298E8,1,0.06255943667462738,DETECTED,747.5633544921875,8.3017775,3.8066392E7,1.4492747962796605E8,1,0.05918600442354638,
246,794.557975769043,11.075197500000002,,3,ESTIMATED,794.5625,11.12466,121399.7265625,503437.0218133568,0,0.09571192398204076,DETECTED,794.5564575195312,11.060416,3.5879088E7,1.5729974112098932E8,1,0.06582246641107403,DETECTED,794.556640625,11.06741,3.0535872E7,1.559760907782761E8,1,0.0775556095451222,DETECTED,794.5563049316406,11.048304,3.5126684E7,1.5252604486283922E8,1,0.06451291930609848,
247,1451.9808553059895,15.392580666666667,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,1451.9815673828125,15.400122,3.5728588E7,3.9849613223618543E8,1,0.14772462003937825,DETECTED,1451.97998046875,15.393102,3.4683424E7,3.449581572043577E8,1,0.15426259919248864,DETECTED,1451.9810180664062,15.384518,3.5088304E7,4.0325036547926337E8,1,0.1534339696745839,
248,1449.9657389322917,15.837755333333334,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,1449.9654541015625,15.854874,3.556244E7,3.032347567147533E8,1,0.1359937113742511,DETECTED,1449.9658203125,15.839882,3.5101328E7,3.0759535262477386E8,1,0.13012268884780553,DETECTED,1449.9659423828125,15.81851,3.7848684E7,3.1181229150828695E8,1,0.12785922525454296,
249,768.5491739908854,9.92713,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,768.549072265625,9.9285313,3.486862E7,1.991937452617656E8,1,0.07630338270270975,DETECTED,768.5491333007812,9.9358352,3.2647154E7,1.948503661078702E8,1,0.07798216841905159,DETECTED,768.54931640625,9.9170235,3.5621844E7,2.1482431483608192E8,1,0.08303200527286592,
250,802.5920104980469,10.304353333333333,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,802.5919189453125,10.320203,3.4795188E7,1.8274388020227978E8,1,0.07870669226881333,DETECTED,802.5921936035156,10.306027,3.2567168E7,1.7401861852253202E8,1,0.07926634061860227,DETECTED,802.5919189453125,10.28683,3.6740524E7,1.839016157405134E8,1,0.0764408321972514,
251,898.6457824707031,11.285707333333335,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,898.6455078125,11.294829,3.4671976E7,1.8805137439813656E8,1,0.08174295559551403,DETECTED,898.6470336914062,11.290539,3.3447492E7,1.9716432061910877E8,1,0.08501114394780629,DETECTED,898.6448059082031,11.271754,3.5915124E7,1.9569654375748873E8,1,0.08105155609339931,
252,706.6311848958334,13.474362999999999,,3,UNKNOWN,0,0,0,0,0,0,DETECTED,706.631103515625,13.491469,3.4465296E7,1.8089494617196974E8,1,0.07960136398639861,DETECTED,706.6311645507812,13.466838,3.6908444E7,2.0053400771584412E8,1,0.08310446758638079,DETECTED,706.6312866210938,13.464782,3.3883444E7,1.8232381421061158E8,1,0.07966413581408283,
253,702.5385894904327,10.66212175,,3,ESTIMATED,702.5361633816528,10.526047,13473.818359375,85720.70854713094,0,0.3343864147433475,DETECTED,702.5392150878906,10.712503,3.435446E7,3.333983905955088E8,1,0.2004544890561668,DETECTED,702.53955078125,10.70889,3.5942356E7,3.459264622807224E8,1,0.11568202812151362,DETECTED,702.5394287109375,10.701047,3.6625332E7,3.4715217638627934E8,1,0.1186736016150931,
254,702.50787354393,9.690951,,3,ESTIMATED,702.504608189392,9.7722608,6706.986328125,35727.62294349499,0,0.07940740800581203,DETECTED,702.5098266601562,9.6732749,3.434492E7,2.0655255685303488E8,1,0.0742349013559096,DETECTED,702.5086059570312,9.6679327,3.1404618E7,1.9998944166280377E8,1,0.07887405398286518,DETECTED,702.5084533691406,9.6503356,3.4533348E7,2.1192112904771483E8,1,0.07819332724264783,
