Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Hap1_Blank.raw,Hap1_Neg_3.raw,Hap1_Neg_1.raw,Hap1_Neg_2.raw,
0.5725801100000001,659.3351440429688,+,4.475657270096746E7,,,4,8642.133533367323,3.449953981721881E7,4.45602350463697E7,4.475657270096746E7,
0.57261025,361.2705383300781,+,3.3758466745879896E7,,,4,0.0,2.5338458897950497E7,3.3758466745879896E7,2.7845589787786733E7,
0.57261025,643.4976196289062,+,4146911.312998003,,,4,0.0,2936937.249722959,4146911.312998003,2804895.9774198113,
0.57261025,629.3515014648438,+,1.3689472242003294E7,,,4,0.0,9477360.537835974,1.3689472242003294E7,4350676.838676028,
0.577258,555.26904296875,-,1.995766543363978E7,LysoPG 22:6,LysoPG,4,14006.341926583178,1.891361944685294E7,1.7548488688131016E7,1.995766543363978E7,
0.5787434025,377.0826721191406,-,2.52144898168606E7,,,4,30151.427290318337,1.3846273022613743E7,6076947.6642730795,2.52144898168606E7,
0.5806705125,379.15338134765625,-,2.599414103107421E7,,,4,25231.388215327588,2.347330925325365E7,2.2442567733135056E7,2.599414103107421E7,
0.5910998475,520.3292236328125,+,2.608512209027852E7,,,4,822206.4539306262,2.0626819502428297E7,2.324443435710577E7,2.608512209027852E7,
0.5910998475,476.30340576171875,+,2.996885577063751E7,,,4,985610.7377271793,2.2416902371340755E7,2.765951414346864E7,2.996885577063751E7,
0.5910998475,564.3551025390625,+,2.0714017580931656E7,,,4,730795.6330582618,1.757746421903955E7,1.7668785576774612E7,2.0714017580931656E7,
0.5910998475,608.3864135742188,+,1.501405458307599E7,,,4,579635.1015998637,1.4577625813864402E7,1.2254869034429666E7,1.501405458307599E7,
0.5910998475,652.4113159179688,+,1.1417025086930353E7,,,4,412168.5291109032,1.1417025086930353E7,8496266.414639633,1.058057958507653E7,
0.5910998475,432.2772521972656,+,2.6353476146548297E7,,,4,799284.8258991985,1.7491354942213878E7,2.435235227241685E7,2.6353476146548297E7,
0.5910998475,696.4332885742188,+,7638156.624554118,,,4,287384.39507914096,7638156.624554118,5657457.708817226,6857849.34245114,
0.5910998475,740.4591674804688,+,5928765.316860399,,,4,228788.25788547276,5928765.316860399,3417105.660091493,5565033.638834708,
0.5910998475,784.4837646484375,+,4098579.7513231416,,,4,161223.41483794423,4098579.7513231416,2531237.648369039,3788660.799722845,
0.5943282233333332,1027.4847412109375,+,6976658.24644042,,,4,0.0,2889939.0848215097,5998337.3134976225,6976658.24644042,
0.5943282233333332,422.1540832519531,+,1580881.908302511,,,4,0.0,1312900.3419614804,1512002.0645212696,1580881.908302511,
0.5943282233333332,582.300048828125,+,4663639.247311298,,,4,0.0,989739.0679293503,313942.8541323219,4663639.247311298,
0.5949356324999999,273.14756774902344,-,2.9145451313239027E7,,,4,15099.36090497523,2.676252983351349E7,2.596301363079867E7,2.9145451313239027E7,
0.6004752400000001,1023.4535522460938,-,1786651.6444038213,,,4,0.0,1487930.5534996828,1298293.6954142011,1786651.6444038213,
0.6006128825,258.10784912109375,+,3.664954744123671E7,,,4,2607.512463021384,2.4208745215412963E7,3.2587530325939935E7,3.664954744123671E7,
0.6006128825,258.1078338623047,+,3.880968299208491E7,,,4,2607.512463021384,2.4208745215412963E7,3.2571853717958357E7,3.880968299208491E7,
0.6090525,305.15467834472656,+,1.9264737855651792E7,,,4,1702929.5435674994,1.6536568231191078E7,1.8838518258627087E7,1.9264737855651792E7,
0.6150707575000001,261.1288146972656,+,2.1751508556442898E7,,,4,5203677.153426315,1.673179115348351E7,2.142712984158555E7,2.1751508556442898E7,
0.6150707575000001,453.2061767578125,+,1.760843795387185E7,,,4,368487.87534813717,1.1053678930389853E7,1.2426732941753384E7,1.760843795387185E7,
0.6150707575000001,409.1803283691406,+,2.006775271643582E7,,,4,434983.84468604863,1.0878609796162603E7,1.3051660641592337E7,2.006775271643582E7,
0.6150707575000001,541.2579956054688,+,1.0719633099252028E7,,,4,126143.11053995682,7187324.941534167,8302232.84149088,1.0719633099252028E7,
0.686469515,249.11135864257812,-,1.3897100711481627E7,,,4,56784.03367539408,1.1790688541534761E7,1.3897100711481627E7,1.2267196249337718E7,
