Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Hap1_Blank.raw,Hap1_Neg_3.raw,Hap1_Neg_1.raw,Hap1_Neg_2.raw,
11.65174675,800.6460266113281,+,4.646166186766485E8,Plasmanyl-PC O-38:2,Plasmanyl-PC,8,,26665.350926762476,4.5424221916625994E8,4.5841806140233415E8,4.646166186766485E8,
11.651919333333334,829.6812744140625,+,7.251065426675597E7,,,4,,0.0,7.2045288928185E7,7.251065426675597E7,7.009425214286159E7,
11.651919333333334,830.6690368652344,+,3.8726785112491675E7,,,4,,0.0,3.654625501823352E7,3.8726785112491675E7,3.611997110239767E7,
11.654821249999998,686.4998168945312,+,1.6964080395478178E7,,,4,,9172.961787876164,1.6964080395478178E7,1.5551077182437606E7,1.1782783912416443E7,
11.656124,934.6807861328125,-,8449607.829622976,,,4,Adduct of existing peak,0.0,8449607.829622976,7734267.8335692305,8398856.010219151,
11.65613725,612.552001953125,+,8.22924413189949E7,,,4,Adduct of existing peak,22886.81318787663,8.011777656928325E7,8.22924413189949E7,8.056031104238336E7,
11.658865,749.5137023925781,+,1.4170657894914897E7,,,4,Adduct of existing peak,0.0,1.4170657894914897E7,1.0922451548050135E7,3397152.6781692393,
11.666627,341.30224609375,+,7.966530737003838E7,,,4,In-source fragment,0.0,7.966530737003838E7,7.029262890863585E7,7.089879628858298E7,
11.666627,664.58154296875,+,8.584091079711965E7,,,4,Adduct of existing peak,0.0,8.584091079711965E7,7.983178058823381E7,6.401740995111099E7,
11.666627,669.5388488769531,+,5.142748756148737E7,,,4,Adduct of existing peak,0.0,5.142748756148737E7,4.63324590466427E7,4.6295958537851006E7,
11.666627,876.677734375,+,3.0881323829596944E7,,,4,,0.0,3.0881323829596944E7,2.5341825175091177E7,1.5196509182306359E7,
11.666627,749.5246887207031,+,1.5381907708779057E7,,,4,Adduct of existing peak,0.0,1.3403585584747544E7,1.3325210788561773E7,1.5381907708779057E7,
11.670324249999998,693.5286865234375,+,3.698882288795671E7,,,4,Adduct of existing peak,10955.693749921797,3.698882288795671E7,3.1645138885869663E7,3.2851650528547194E7,
11.670324249999998,714.5968627929688,+,1.4587778236739876E7,,,4,Adduct of existing peak,25767.270365624037,1.4587778236739876E7,1.3299279235810608E7,1.201098636764197E7,
11.670324249999998,693.537841796875,+,3.6228206300212234E7,,,4,Adduct of existing peak,7896.895032773479,3.6228206300212234E7,3.14007403690381E7,3.1266210338349078E7,
11.67056075,682.6312866210938,+,4.702462822760173E7,,,4,,1564641.7132560657,8519571.973749842,1.030212856112052E7,4.702462822760173E7,
