Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Liver_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Liver_Neg_1.raw (F4),Liver_Neg_2.raw (F5),Liver_Neg_3.raw (F6),
0.808,485.32578,-,34698.95268,,,3,16019.06734,2513.979996,0.0,34698.95268,27536.65147,26992.26396,
0.812,355.22702,-,72427.75166,,,3,40794.43457,509.8648379,0.0,57796.32397,72427.75166,64277.76738,
0.813,309.15256,-,27856.15677,,,2,22817.20053,1859.119103,0.0,27856.15677,27491.7527,26981.55509,
0.817,399.21661,-,87984.97986,,,4,57821.68162,1749.970161,0.0,83530.99476,87984.97986,82323.19146,
0.817,387.21649,-,12656.37724,,,3,12442.01259,443.0665288,0.0,12436.77085,11421.9323,12656.37724,
0.827,513.21021,+,62324.48435,,,2,60108.74971,0.0,485.1353367,62324.48435,21233.31919,37878.12567,
0.829,265.1474,-,405071.2863,,,3,240290.9458,36643.19483,0.0,405071.2863,404731.8528,395543.6312,
0.833,285.20636,-,18910.55425,,,3,12262.32017,2169.073404,0.0,11999.59194,18910.55425,13107.81392,
0.834,313.2374,-,36177.75321,,,3,36177.75321,2348.036147,0.0,14456.64788,27592.87035,26567.62985,
0.836,297.15216,-,1389926.256,,,5,886264.0398,55183.08901,0.0,1389926.256,1229265.6,1269398.039,
0.837,460.19348,+,9843.603233,,,2,7142.551279,0.0,439.066284,9843.603233,8126.13241,7837.985622,
0.86,619.28772,-,1374137.41,LysoPI 20:4,LysoPI,8,1374137.41,1596.888826,1063.650439,1312815.097,1251277.918,1292010.999,
0.86,595.28735,-,92421.89446,LysoPI 18:2,LysoPI,3,78430.27424,1729.658904,0.0,82825.46806,92421.89446,87694.91472,
0.862,659.24963,+,46658.61551,,,3,42807.46789,0.0,527.5113261,46658.61551,46095.76145,46064.23107,
0.876,546.28107,+,975078.4702,,,7,975078.4702,2044.203122,2960.876426,457892.917,406009.7606,373354.2916,
0.885,1536.9801,-,33490.38461,,,2,5923.244832,5816.804019,0.0,33490.38461,10919.77289,19766.63099,
0.894,603.29114,+,372043.0979,,,4,372043.0979,0.0,452.351596,240282.7264,256678.2591,257758.7005,
0.894,616.323,+,23912.14015,,,2,18411.79568,0.0,1115.174362,21091.76767,23912.14015,22641.01105,
0.896,421.3158,+,5283984.033,,,5,5283984.033,0.0,621641.7454,575564.2486,699417.7461,160424.2116,
0.901,395.24243,-,1259407.142,,,4,1247337.967,2203.159748,0.0,393836.7168,1082903.917,1259407.142,
0.904,376.25809,+,8.871974775E7,,,6,8.871974775E7,2.012374317E7,33877.65935,5276898.981,5313026.219,1.706268349E7,
0.91,323.16794,-,44818.26457,,,2,31303.40462,3228.254356,0.0,44818.26457,39146.68285,39982.79311,
0.91,528.27118,+,14987.42579,,,3,4773.595765,0.0,531.9098109,12265.65485,14987.42579,14215.54474,
0.914,768.53607,+,3076789.841,,,5,3076789.841,0.0,946489.4978,823236.2922,425660.5527,535012.3609,
0.915,463.36261,+,1312497.776,,,5,1312497.776,0.0,189434.7311,129445.6888,316669.3244,379793.3031,
0.919,589.27374,+,68875.86446,,,5,68875.86446,0.0,582.9235658,38969.5676,22758.27523,24052.24228,
0.921,477.3782,+,317072.5907,,,5,317072.5907,0.0,67575.57497,35514.45815,82960.37694,71828.7489,
0.927,432.17813,+,182251.9161,,,4,41686.89552,0.0,37239.667,56558.91808,93982.96186,182251.9161,
0.929,473.20425,+,80940.4537,,,4,40277.54757,0.0,22224.41403,55387.94031,48591.89695,80940.4537,
0.931,277.18011,-,3615253.476,,,4,3577804.314,2251.278789,0.0,3615253.476,3512682.118,3612066.802,
0.931,652.43243,-,252627.2807,,,4,228611.4165,2038.628863,0.0,252627.2807,244820.3356,247289.364,
0.935,686.41986,-,484517.4888,,,5,348560.1957,28231.66988,0.0,484517.4888,403309.9875,448252.1297,
0.937,309.17358,-,5784163.803,,,3,4931359.154,288227.0028,0.0,5784163.803,1107781.928,1037775.898,
0.939,311.16776,-,5730427.845,,,4,4990591.856,268906.6613,0.0,5730427.845,4478766.029,4692788.275,
0.955,621.30365,-,103398.2255,LysoPI 20:3,LysoPI,4,83586.48911,2334.180611,0.0,103398.2255,95477.28649,88576.9943,
0.956,445.2446,+,753461.2046,,,3,753461.2046,0.0,2691.920345,28227.04845,18255.40627,16121.30389,
0.96,355.16718,-,107896.3875,,,5,95730.22944,15388.84453,0.0,107896.3875,105209.955,78620.8406,
0.962,555.27179,-,55971.41931,LysoPG 22:6,LysoPG,4,49346.21739,2175.513991,0.0,55971.41931,53481.48159,54718.98218,
0.963,565.45428,+,71139.5639,,,3,71139.5639,0.0,517.837935,48679.65028,57618.53096,51862.93141,
0.964,921.31738,-,91477.98056,,,3,39162.14628,1594.901345,0.0,91477.98056,66818.05904,51870.28596,
0.968,651.52789,+,27291.50677,,,3,27291.50677,0.0,572.6835122,23800.12539,25346.25007,24744.45913,
0.969,669.16248,-,77980.49867,,,3,54710.13304,15736.87493,0.0,41966.14151,42112.79991,77980.49867,
0.97,523.23267,+,39085.45504,,,2,39085.45504,0.0,796.3171671,21385.29785,29768.72498,30918.15346,
0.972,421.15433,-,198079.9131,,,5,142235.0325,20280.80644,0.0,198079.9131,147385.7929,142985.8071,
0.981,672.13702,-,60500.05561,,,3,60500.05561,5163.508583,0.0,31366.24892,42514.46192,30418.21484,
0.981,507.27148,-,24900.63399,LysoPG 18:2,LysoPG,3,19797.11757,2308.747782,0.0,21742.44492,22837.4397,24900.63399,
0.984,700.43628,-,25943.01499,,,3,13538.26717,1595.950217,0.0,25943.01499,23151.18832,23506.34979,
0.989,315.25299,-,33441.20182,,,2,29239.16461,2033.162375,0.0,33441.20182,29598.81743,25387.08951,
0.998,447.16861,+,36276.86695,,,2,36276.86695,0.0,6482.933767,24724.49777,18402.20025,34263.73161,
1.0,499.26489,-,51832.77602,,,2,51832.77602,925.0669225,480.0199793,22476.96959,19135.96418,22361.8422,
1.01,599.5473,+,1107997.115,,,4,1107997.115,0.0,6814.749493,792541.5583,924303.9932,900647.532,
1.01,496.2673,-,127462.6653,,,7,114654.5854,479.5384895,414.6358776,112573.1677,127069.8547,127462.6653,
1.01,728.38391,+,105615.5217,,,3,59723.87617,0.0,434.584542,47263.76192,105615.5217,105251.7904,
1.01,486.42758,+,60010.67773,,,4,51179.31059,0.0,253.9892263,45840.57885,60010.67773,57080.056,
1.014,542.32098,+,287069.8938,LysoPC 20:5,LysoPC,7,287069.8938,0.0,482.5625935,213995.061,237441.3974,235701.0579,
1.017,605.30841,+,19209.63626,,,3,19209.63626,0.0,172.9648318,14408.98536,15587.94748,14487.83731,
1.018,426.31818,+,25381.55191,,,2,22875.74843,0.0,260.8979984,22824.43371,25381.55191,16220.08874,
1.024,313.21671,-,92154.71406,,,4,77791.75083,634.7708567,0.0,90906.68709,87856.32306,92154.71406,
1.026,432.2207,-,82859.13022,,,2,48941.99068,213.2664814,0.0,82859.13022,77743.60257,74845.05301,
1.031,460.41177,+,171646.2741,,,6,124445.0871,0.0,12699.86713,171646.2741,137115.6471,132401.9,
1.037,571.28815,-,130296.985,LysoPI 16:0,LysoPI,4,112233.7947,2013.984734,0.0,128162.3073,117525.7306,130296.985,
1.052,385.14001,-,16420.92429,,,2,13066.00637,1542.307842,0.0,16420.92429,14320.68023,15116.17985,
1.054,359.2222,-,16664.97071,,,2,8600.955807,189.8165814,0.0,16664.97071,12700.35415,13948.02936,
1.055,476.27637,+,41761.29347,,,2,41761.29347,204.2973106,557.5518025,19946.15339,18755.77554,14659.22546,
1.066,518.3205,+,425276.2293,LysoPC 18:3,LysoPC,8,425276.2293,0.0,650.2732462,308929.8166,355170.3909,353466.4901,
1.066,992.6712,+,36335.37041,,,4,36335.37041,0.0,155.0894642,31546.01945,35710.34664,35634.07297,
1.076,353.19983,-,148998.705,,,4,67605.80262,3933.435706,0.0,148998.705,141107.7882,140390.4257,
1.076,468.3078,+,49116.55824,LysoPC 14:0,LysoPC,4,49116.55824,0.0,10268.15721,34964.74948,39146.13138,43461.23723,
1.082,948.6463,+,59663.08423,,,4,23166.66524,0.0,127.9011094,55560.01925,59663.08423,52860.77197,
1.087,769.41083,+,125213.3834,,,4,110666.1614,0.0,119.3979506,117984.1319,107094.5895,125213.3834,
1.089,860.59283,+,186738.2155,,,3,137914.025,0.0,111.1658147,186738.2155,124364.4531,137864.1126,
1.092,596.35553,+,174571.4722,,,7,174571.4722,4229.719153,8875.976138,98678.30896,122459.2664,124712.9119,
1.092,468.27307,+,44779.38668,,,2,44779.38668,0.0,7539.137863,14999.35768,20734.06512,20416.78941,
1.094,602.44745,+,26454.80912,,,2,25129.68407,0.0,333.9156266,22412.71287,25736.84033,26454.80912,
1.097,421.22577,-,58967.06962,,,4,26691.83781,6638.205906,0.0,58908.47028,57045.92988,58967.06962,
1.098,554.30804,+,51960.67241,,,3,51960.67241,0.0,343.3653843,35111.18935,38890.1186,39273.08688,
1.1,857.59363,+,224135.9365,,,3,24661.61218,0.0,155.0839973,156851.7462,224135.9365,16257.28075,
1.102,522.37524,+,21611.40519,,,3,21611.40519,0.0,147.8337326,13587.11801,15833.6411,15780.12748,
1.107,305.15027,-,40156.89392,,,4,39311.23736,188.783926,0.0,32126.33595,40156.89392,30347.31591,
1.109,904.61908,+,106154.7033,,,4,106154.7033,0.0,128.1518326,79191.67519,81661.75238,94919.54821,
1.111,410.16098,-,17824.89432,,,2,17824.89432,936.0272238,0.0,16061.16187,15295.34638,15036.20929,
1.112,293.17889,-,250135.5537,,,5,109831.327,14888.55197,0.0,250135.5537,233326.3641,229237.7488,
1.117,325.18311,-,3403048.83,,,5,2281814.209,117438.4068,0.0,3083977.002,3403048.83,3358905.243,
1.122,813.5672,+,177477.077,,,4,26119.09454,0.0,106.217751,177477.077,15823.62925,19036.05619,
1.124,447.19733,+,35977.63448,,,4,35977.63448,0.0,1221.346979,26365.28591,34395.00138,33235.50509,
1.128,816.56659,+,245921.4794,,,3,207382.4417,0.0,120.3837086,245921.4794,165318.8625,173973.609,
1.131,772.54053,+,319375.3588,,,3,279456.7533,0.0,413.6855351,187217.7775,213423.6392,319375.3588,
1.132,728.51434,+,316714.4945,,,3,307499.8461,0.0,370.4974633,316714.4945,246051.4361,268451.0242,
1.134,454.16895,+,247121.922,,,7,247121.922,182.4991182,124.8909198,158302.4838,184800.0039,180617.1805,
1.135,725.5152,+,233096.2628,,,4,33201.80474,0.0,387.1005802,233096.2628,23223.69201,28091.11638,
1.138,263.1647,-,42501.05935,,,4,42005.06677,896.7992558,0.0,42501.05935,36937.82973,39240.76844,
1.142,684.4881,+,312814.8898,,,4,312814.8898,0.0,272.117682,202996.1871,226194.5334,223561.9082,
1.142,597.30347,-,85825.61188,LysoPI 18:1,LysoPI,4,68263.63561,124.1726519,0.0,84755.57129,85825.61188,79852.54902,
1.143,681.48895,+,44971.72657,,,4,34289.56999,0.0,407.2032373,44971.72657,27371.31946,28142.75553,
1.143,637.46222,+,38400.69422,,,4,38400.69422,0.0,455.3231629,33293.63868,23735.11403,25210.14192,
1.144,543.29602,-,16256.40268,,,3,15115.23189,154.8354613,0.0,16256.40268,11584.16055,13273.31471,
1.146,640.46198,+,247969.1353,,,4,247969.1353,0.0,136.7400817,180256.9852,195744.3954,213415.0287,
1.15,601.3913,+,111682.3256,,,3,111682.3256,0.0,133.0229658,32199.21402,30032.02613,21538.54715,
1.151,508.3833,+,65524.58431,,,4,65524.58431,0.0,620.1349309,25865.77506,21528.00654,24876.57342,
1.153,271.22717,-,155970.366,,,2,142097.439,11456.76787,0.0,99478.97837,155970.366,136774.8747,
1.154,551.26379,+,32778.493,,,4,32778.493,0.0,226.7011494,23047.54817,22273.04561,24605.3855,
1.156,552.40967,+,130802.1449,,,3,130802.1449,0.0,476.7182854,70003.95113,70557.11117,83090.10259,
1.157,397.22528,-,110807.8411,,,4,53167.66861,1326.521327,0.0,110170.3525,110807.8411,108286.3497,
1.175,478.29324,-,28456.18547,,,3,24528.85802,166.6788496,0.0,25926.52464,28456.18547,25052.87569,
1.18,362.23636,-,45264.56504,,,2,18535.40547,118.5814689,0.0,45264.56504,39063.37877,39291.98268,
1.181,452.27591,+,84444.68949,LysoPE 16:1,LysoPE,6,84444.68949,137.925432,77.99116651,47713.36584,46155.73271,51415.72599,
