Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Rep1.raw (F1),Hap1_Neg_1.raw (F2),Hap1_Pos_1.raw (F3),Hap1_Neg_3.raw (F4),Hap1_Pos_3.raw (F5),Hap1_Neg_2.raw (F6),Hap1_Pos_2.raw (F7),
1.63,608.30664,+,219159.1596,,,4,Adduct of existing peak,213581.8771,0.0,155729.1075,0.0,219159.1596,0.0,156377.2548,
1.632,533.34558,+,1542045.341,,,4,,1392137.861,0.0,1542045.341,0.0,1246214.441,0.0,1257670.738,
1.634,591.39862,+,428925.0626,,,3,Adduct of existing peak,341648.9545,0.0,421442.8251,0.0,344498.7864,0.0,428925.0626,
1.635,419.23083,+,82122.9712,,,2,,82122.9712,0.0,54496.39776,0.0,67517.9165,0.0,60297.94002,
1.639,490.2901,-,373720.7093,,,2,,373720.7093,282196.5102,0.0,228871.2905,0.0,201153.127,0.0,
1.644,613.43469,+,382418.8301,,,3,,231106.9845,0.0,305706.102,0.0,241673.9415,0.0,382418.8301,
1.644,576.302,+,300074.3453,,,3,Adduct of existing peak,300074.3453,0.0,269748.6828,0.0,265641.338,0.0,259979.9177,
1.645,599.3158,-,1707482.879,LysoPI 18:0,LysoPI,7,,1624295.223,1707482.879,188839.6038,1349752.612,131604.9487,1351790.193,148326.1845,
1.65,598.34534,+,173207.9045,,,3,,153030.4271,0.0,92180.89827,0.0,82442.15987,0.0,173207.9045,
1.651,618.34821,+,174642.1684,,,2,Adduct of existing peak,174642.1684,0.0,115077.7566,0.0,135286.8023,0.0,111452.3704,
1.651,592.26849,+,125314.1621,,,4,Adduct of existing peak,125314.1621,0.0,108584.2372,0.0,109005.2207,0.0,107329.7493,
1.659,556.29877,+,567339.0398,,,4,Adduct of existing peak,567339.0398,225700.1408,461820.8667,213373.9088,294847.276,192230.7509,352762.322,
1.667,552.30585,-,1.834758175E7,,,10,,1.834758175E7,7441888.283,8888716.571,7051550.735,8643926.29,6434392.33,8631412.78,
1.671,413.30182,+,909817.1205,,,4,,909817.1205,0.0,688959.0137,0.0,693873.6077,0.0,737281.9109,
1.677,1071.62988,+,127187.3689,,,2,Adduct of existing peak,127187.3689,0.0,62150.68733,0.0,90809.41776,0.0,61983.98723,
1.682,542.25073,+,403288.6031,,,3,,369350.019,0.0,342454.3826,0.0,403288.6031,0.0,231591.3454,
1.683,1057.61902,+,757018.9742,,,7,Adduct of existing peak,757018.9742,230147.6574,306161.8913,251192.9691,299033.3833,205009.8016,291770.9988,
