Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Rep1.raw (F1),Hap1_Neg_1.raw (F2)+Hap1_Pos_1.raw (F3),Hap1_Neg_3.raw (F4)+Hap1_Pos_3.raw (F5),Hap1_Neg_2.raw (F6),
1.738,1017.6806,+,8621120.23,,,4,8621120.23,4938637.455,4065233.287,5266171.543,
1.738,1452.9176,-,77167.85133,,,2,77167.85133,54605.66345,48693.12762,58609.42058,
1.746,518.25024,+,654414.4446,,,3,516036.5357,654414.4446,621130.0107,644964.392,
1.747,478.29041,-,1.19852799E8,LysoPE 18:1,LysoPE,7,1.19852799E8,5.787386347E7,5.542017248E7,5.278077958E7,
1.749,339.28677,+,2.047523829E7,,,4,2.047523829E7,1.828755658E7,1.75933813E7,1.847938092E7,
1.75,959.60187,+,9149863.214,,,7,9149863.214,5472928.675,4353464.87,4275159.289,
1.755,1520.97961,-,115182.6601,,,3,115182.6601,81506.23965,72833.13126,72543.3313,
1.76,1005.5882,-,8315981.217,,,5,8315981.217,795988.913,831517.5787,4403095.277,
1.761,1009.61682,+,7956411.197,,,5,7956411.197,3822786.301,3594012.637,4175142.203,
1.765,1528.94958,-,117692.4265,,,4,117692.4265,87930.31589,104712.7167,101427.1837,
1.77,522.35187,+,1.501066086E8,LysoPC 18:1,LysoPC,10,1.501066086E8,1.189117166E8,1.143516805E8,1.225362359E8,
1.77,955.67981,+,569238.0118,,,3,569238.0118,375812.4934,268060.5365,434996.743,
1.774,620.31879,+,717625.3746,,,4,717625.3746,630346.3572,605166.6152,622338.7823,
1.79,400.33902,+,2215783.965,AC 16:0,AC,4,2215783.965,1967120.682,1902473.72,2134592.476,
1.791,1093.70984,+,2408545.996,,,3,2408545.996,1232288.142,877373.1921,1445041.655,
1.792,1051.66516,+,5262472.261,,,7,5262472.261,1898710.073,1941517.131,1908808.852,
1.798,466.29001,-,1050103.723,LysoPE 17:0,LysoPE,6,1050103.723,604044.5219,484474.6968,469779.0412,
1.818,528.30585,-,1.305748372E8,LysoPE 22:4,LysoPE,9,1.305748372E8,5.482858555E7,5.765026155E7,5.525114716E7,
1.82,389.30203,+,8385301.342,,,6,8385301.342,7137211.405,7545579.316,7494886.013,
1.822,628.23022,-,743698.5141,,,3,80254.10329,24789.14869,743698.5141,696298.0821,
1.826,686.29388,-,310896.8092,,,4,310896.8092,236441.3606,277528.5274,282553.453,
1.83,1059.63281,+,6452876.505,,,7,6452876.505,2801149.078,3487105.348,2694205.062,
1.83,304.29767,+,1983702.235,,,4,1983702.235,1722997.382,1788812.309,1816156.362,
1.83,510.35226,+,1816021.746,LysoPC 17:0,LysoPC,4,1816021.746,1339860.491,1353182.968,1607314.738,
1.835,1079.59973,-,655322.8518,,,7,655322.8518,386987.1855,267524.9369,274215.567,
1.837,568.26794,+,867104.8255,,,4,815034.0349,843078.8121,867104.8255,814209.7849,
1.84,588.37244,+,502739.7653,,,4,440448.8526,424688.4916,502739.7653,343666.8884,
1.847,576.40613,+,958134.0623,,,2,958134.0623,392563.541,469831.8846,370478.4664,
1.848,572.367,+,2.107030021E7,LysoPC 22:4,LysoPC,11,2.107030021E7,1.671656887E7,1.437943018E7,1.547119721E7,
1.854,630.41846,+,491669.4855,,,4,386876.1129,491669.4855,374029.0911,391860.9862,
1.855,422.33521,+,183212.6192,,,2,183212.6192,172122.4287,160880.0842,144091.7576,
1.863,532.38031,+,1231968.38,,,2,1231968.38,507963.7917,649656.7814,473208.0451,
1.876,488.35468,+,1556406.155,,,2,1556406.155,500350.9831,666400.5509,507181.6154,
1.883,444.32874,+,951431.2675,,,2,951431.2675,260724.4074,380235.3065,283543.8852,
1.918,478.29041,-,2.602378132E7,LysoPE 18:1,LysoPE,6,2.602378132E7,1.135308563E7,1.144403756E7,1.13532289E7,
1.927,480.26938,-,474163.6659,,,6,474163.6659,222534.8946,234437.6787,209934.3427,
1.936,580.35791,-,5556992.893,LysoPC 18:1,LysoPC,4,5556992.893,4428997.484,3776013.565,3237392.575,
1.939,390.26535,-,175899.0856,,,4,175899.0856,157640.9455,117450.3935,111167.2365,
1.949,612.32397,-,196514.3322,,,4,196514.3322,115751.898,93427.07,97699.9278,
1.974,516.3056,-,5571967.688,,,8,5571967.688,2547956.284,2734823.726,2530036.674,
1.978,440.3103,+,285711.7901,,,4,285711.7901,144902.4247,140426.6861,145854.3503,
1.98,340.28275,-,158038.2471,,,2,158038.2471,89159.97925,139708.8742,90639.55217,
1.985,377.30209,+,408013.7867,,,4,408013.7867,386214.3832,376668.3635,327213.0301,
1.997,426.35464,+,3352317.786,AC 18:1,AC,4,3352317.786,2204792.387,1784440.167,2451642.052,
1.999,560.36725,+,786335.1353,,,4,786335.1353,582343.582,601822.3041,608871.8609,
2.008,477.32864,+,3.04734445E7,,,5,3.009314774E7,3.04734445E7,2.079529915E7,2.500115405E7,
2.011,482.3569,+,3466891.334,,,4,3466891.334,2289560.541,2370472.61,2323401.744,
2.014,511.30054,-,248240.4568,LysoPG 18:0,LysoPG,2,248240.4568,72003.30087,70213.55705,66819.55054,
2.019,666.42963,+,3958990.924,,,5,3958990.924,155522.1761,676657.6352,353390.9303,
2.045,506.34259,+,222437.7449,,,2,222437.7449,132647.904,104747.4812,107983.3824,
2.048,582.315,+,77913.81194,,,2,76183.01215,72590.07934,77913.81194,73880.69564,
2.049,438.29443,+,1191404.484,,,7,1191404.484,846461.4154,672102.5758,706727.3439,
2.072,464.33337,+,1.167353585E7,,,5,2316476.891,1.128937443E7,1.167353585E7,9899912.747,
2.073,492.36423,+,523696.8177,,,3,201768.0493,523696.8177,393586.9255,446342.8483,
2.08,548.367,+,3446871.393,LysoPC 20:2,LysoPC,2,2359879.146,2572164.979,1653415.88,3446871.393,
2.085,697.35291,-,771982.1132,,,6,771982.1132,99837.09692,123751.5201,93856.38078,
2.087,506.32083,+,1.049515872E7,LysoPE 20:2,LysoPE,6,1.049515872E7,5255074.068,5093084.102,3583519.758,
2.089,441.25793,+,6229232.679,,,4,6229232.679,3227546.224,4513657.096,2870049.127,
2.089,285.18268,+,2813800.364,,,4,2813800.364,2196050.743,2331562.072,2385573.418,
2.09,441.20001,-,54878.15198,,,3,54878.15198,31130.6273,40277.40287,41062.61789,
2.091,365.30222,+,1056214.186,,,4,1056214.186,925684.4923,949547.2465,900903.2934,
2.094,544.26654,+,142969.2406,,,2,121306.0665,142969.2406,115626.2371,132900.7835,
2.1,622.40405,+,966991.2981,,,3,966991.2981,154941.6698,332230.5059,278290.3798,
2.104,532.29956,+,423738.2871,,,3,423738.2871,370535.6005,316642.3323,292140.1832,
2.153,422.32468,-,408787.527,,,4,384171.8031,408787.527,354093.8221,360174.6414,
2.157,395.24432,-,103730.6636,,,4,103730.6636,94456.5934,58144.07818,47411.25912,
2.167,304.29767,+,1.030679943E8,,,4,1.030679943E8,9.979774115E7,9.264811638E7,9.889998252E7,
2.167,667.6095,+,123821.9702,,,4,123821.9702,121845.4157,116200.0983,118373.1884,
2.171,299.25687,-,586707.7644,,,2,586707.7644,278607.5381,126887.0961,126624.7664,
2.175,644.56818,+,220155.8099,,,2,220155.8099,110636.5168,79295.31161,133371.2784,
2.184,508.29962,+,1547556.75,,,7,1547556.75,986666.3311,1121214.1,904536.648,
2.208,550.34698,+,915970.0922,,,4,915970.0922,749139.721,737807.8763,853742.8034,
2.221,588.3269,-,523255.33,,,4,523255.33,419366.6034,246511.0175,290490.4533,
2.226,510.35226,+,1010878.19,LysoPC 17:0,LysoPC,4,1010878.19,771400.5994,733592.7965,652399.9781,
2.227,282.27707,+,495864.6164,SP d18:1,SP,3,495864.6164,409062.6715,428090.0621,391265.0904,
2.25,556.3363,+,1.761618787E7,LysoPE 24:5,LysoPE,7,1.761618787E7,7130156.777,8304298.129,7352110.73,
2.25,558.31506,+,1060474.507,,,7,1060474.507,679096.8883,644415.1702,613962.7752,
2.253,415.31781,+,878059.6819,,,4,878059.6819,611954.5475,659943.9054,715605.8031,
2.256,508.37305,+,2059252.295,,,4,2059252.295,1401994.907,1436864.185,1393545.016,
2.263,578.31763,+,508064.4121,,,4,493138.7855,354623.1626,508064.4121,447143.4326,
2.263,594.28278,+,197353.902,,,4,159992.019,191539.4768,195080.4462,197353.902,
2.264,692.25958,+,100502.7493,,,2,93798.83656,74855.0157,69834.53107,100502.7493,
2.27,390.23563,+,430308.0106,,,2,74636.78899,226875.3481,430308.0106,242288.9262,
2.271,594.37305,+,927964.8672,,,4,927964.8672,243183.6481,329178.5595,279803.9043,
2.278,656.38983,-,626161.66,LysoPC 24:5,LysoPC,4,626161.66,603606.8127,376784.181,378480.6194,
2.278,600.36206,+,113919.4834,,,4,113919.4834,102676.4353,110291.9907,106334.1572,
2.323,300.32416,+,661458.309,,,4,661458.309,616421.6978,557148.1663,594153.023,
2.335,325.22498,+,129986.1781,,,4,122785.0963,129986.1781,97025.60384,114489.6201,
2.402,608.38855,+,496648.4081,,,2,496648.4081,125796.3475,191093.386,157977.9679,
2.454,737.3844,-,119975.2507,,,4,119975.2507,69579.06984,60786.20287,61323.59671,
2.466,544.33496,+,504800.851,,,5,504800.851,294010.1164,231538.8272,203296.4454,
2.487,596.33038,-,109654.6875,,,2,88413.22916,109654.6875,62139.30369,60053.88572,
2.498,536.36761,+,432819.3673,,,2,432819.3673,254096.4727,251467.6088,257541.886,
2.501,538.31091,-,105591.7019,,,4,105591.7019,77509.61697,48021.61695,42866.45468,
