Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Yeast_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Yeast_Neg_1.raw (F4),Yeast_Neg_2.raw (F5),Yeast_Neg_3.raw (F6),Yeast_Pos_1.raw (F7),Yeast_Pos_2.raw (F8),Yeast_Pos_3.raw (F9),
0.669,434.1749,+,15372.56269,,,3,Adduct of existing peak,7546.575334,0.0,2526.912745,0.0,0.0,0.0,14319.34872,15372.56269,15020.93982,
0.67,403.21164,-,16758.33681,,,2,,14358.77432,140.0031349,0.0,16758.33681,16280.69605,7894.160403,0.0,0.0,0.0,
0.671,297.13336,-,607845.7082,,,4,,597728.8072,247.0216138,0.0,569495.5793,607845.7082,516501.3315,0.0,0.0,0.0,
0.671,339.18027,-,61616.5843,,,4,,48063.28622,1839.602192,0.0,61159.04046,58978.96928,61616.5843,0.0,0.0,0.0,
0.672,619.27301,+,104935.117,,,4,,104935.117,0.0,882.5452349,0.0,0.0,0.0,15138.08823,14224.31992,13670.83796,
0.674,631.53735,+,21863.80031,,,4,,21863.80031,0.0,128.3450305,0.0,0.0,0.0,17608.0428,19713.51812,17736.11593,
0.674,415.21133,-,14338.62183,,,2,,13078.36411,206.2707232,0.0,13561.31427,14338.62183,13609.21854,0.0,0.0,0.0,
0.677,277.14355,-,19276.89025,,,3,Adduct of existing peak,11323.23111,1044.77869,0.0,18616.78397,19276.89025,15412.66953,0.0,0.0,0.0,
0.679,348.07001,+,254878.5436,,,3,,254878.5436,669.5896084,1609.132975,26107.447,47435.54174,50465.91557,4418.238233,3256.727783,3340.78953,
0.68,492.40283,+,18538.33445,,,3,,18538.33445,0.0,1195.559523,0.0,0.0,0.0,14520.75404,15627.57573,16220.65246,
0.681,515.22595,-,47276.84897,LysoPI 12:0,LysoPI,4,,40437.82785,120.7129707,0.0,47276.84897,46087.39132,43219.93969,0.0,0.0,0.0,
0.682,478.3829,+,15910.87671,,,3,,15910.87671,0.0,332.1592057,0.0,0.0,0.0,11490.36277,13146.99485,11883.97777,
0.685,412.24591,+,175153.178,LysoPC 10:0,LysoPC,4,,175153.178,0.0,931.5617047,0.0,0.0,0.0,105497.1558,103198.5745,103301.969,
0.685,525.25018,+,39191.70346,,,5,,39191.70346,147.7102086,2547.944759,15078.62548,16214.94169,13066.10815,15536.32593,17719.30227,16791.37126,
0.685,484.14951,+,18421.38511,,,3,,13384.07766,0.0,99.06152589,0.0,0.0,0.0,18421.38511,13910.0784,13174.17629,
0.686,517.47064,+,16384.63052,,,2,,16384.63052,0.0,84.67766719,0.0,0.0,0.0,14747.38329,14892.12269,14253.81007,
0.687,333.11047,-,24010.89899,,,2,Adduct of existing peak,16434.14911,175.5736224,0.0,22934.07596,22607.57719,24010.89899,0.0,0.0,0.0,
0.689,423.40616,+,27908.03373,,,2,,27908.03373,0.0,370.7463662,0.0,0.0,0.0,17701.17699,23118.44125,18852.02965,
0.691,530.13873,+,14566.40983,,,2,,12244.42436,0.0,88.61828411,0.0,0.0,0.0,14566.40983,12268.81057,11357.20494,
0.713,379.15417,-,70972.76997,,,3,,45732.75044,105.8629126,0.0,64556.85925,70972.76997,66528.48911,0.0,0.0,0.0,
0.722,396.21457,-,44536.12531,,,3,,44536.12531,111.1910305,0.0,18231.82895,17448.38282,21718.34185,0.0,0.0,0.0,
0.723,531.89008,+,484162.8296,,,2,,484162.8296,0.0,98584.94085,0.0,0.0,0.0,111556.1856,166530.6239,210744.5622,
0.728,552.20166,-,22240.28393,,,2,,8967.049915,69.8093856,0.0,22240.28393,11203.47213,10904.65775,0.0,0.0,0.0,
0.757,512.33612,+,20512.58985,,,3,,20512.58985,0.0,1532.481905,0.0,0.0,0.0,11832.84636,11785.34121,13056.40618,
0.765,293.17526,-,34662.33106,,,2,,20148.80632,665.8960903,0.0,30212.07769,34662.33106,28417.58312,0.0,0.0,0.0,
0.77,449.21716,-,28458.44519,,,3,,28458.44519,131.6764203,0.0,20610.32869,20845.25776,22570.18974,0.0,0.0,0.0,
0.793,569.30725,+,109557.3038,,,2,,109557.3038,0.0,330.8219414,0.0,0.0,0.0,28506.26039,28935.67357,32635.83143,
0.797,498.28271,-,95254.54396,LysoPC 12:0,LysoPC,3,Redundant Identification,95056.03712,124.4453269,0.0,95254.54396,90076.77554,85891.06387,0.0,0.0,0.0,
0.799,440.27689,+,472256.9713,LysoPC 12:0,LysoPC,7,,472256.9713,0.0,247.7738902,0.0,0.0,0.0,293608.1788,359618.2613,369152.1034,
0.799,424.24597,-,61323.76902,,,3,In-source fragment,59397.98695,124.7303999,0.0,61323.76902,57970.57366,56626.09362,0.0,0.0,0.0,
0.815,493.24194,+,25742.80403,,,4,,25742.80403,0.0,229.5782961,0.0,0.0,0.0,20101.43937,25355.38762,21845.60165,
0.82,309.15216,-,44045.06766,,,3,,28462.14707,1797.76603,0.0,36123.47893,44045.06766,36331.69669,0.0,0.0,0.0,
0.822,355.2269,-,172375.4237,,,3,,139217.9959,1615.884517,0.0,134979.2039,172375.4237,118484.3724,0.0,0.0,0.0,
0.823,569.27173,-,1103271.976,LysoPI 16:1,LysoPI,6,,982010.0428,1521.859716,621.4987192,1103271.976,1081490.984,972013.1731,52606.70738,53540.94764,54680.00405,
0.824,609.23395,+,38116.35945,,,2,,38116.35945,0.0,511.3949757,0.0,0.0,0.0,35270.91129,34578.18306,32771.13257,
0.829,399.21652,-,243524.6921,,,4,,176957.5652,2091.93447,0.0,243524.6921,225419.8491,200126.2302,0.0,0.0,0.0,
0.832,387.21671,-,15488.66933,,,2,,12151.21137,1348.512053,0.0,15488.66933,13166.243,9228.362602,0.0,0.0,0.0,
0.838,535.26617,+,43418.93381,,,2,,28574.18446,0.0,299.5597143,0.0,0.0,0.0,39624.94823,40784.40122,43418.93381,
0.84,496.26611,+,1243149.72,LysoPS 16:1,LysoPS,7,,1243149.72,1488.294923,828.6482693,439955.3241,501973.2148,512214.7787,283148.5952,289656.582,279512.3846,
0.842,297.15195,-,1723808.664,,,5,,1175747.873,55284.6495,0.0,1537003.367,1723808.664,1583374.064,0.0,0.0,0.0,
0.843,534.21301,+,29022.8725,,,3,,29022.8725,0.0,418.5792243,0.0,0.0,0.0,26973.4306,23633.89274,21837.37936,
0.854,524.29791,-,32129.6884,LysoPC 14:1,LysoPC,2,Redundant Identification,27800.82679,1633.938834,0.0,32129.6884,30752.94299,29250.05789,0.0,0.0,0.0,
0.858,466.29172,+,180365.0104,LysoPC 14:1,LysoPC,5,,180365.0104,0.0,531.69648,0.0,0.0,0.0,135597.203,142156.7881,134956.1202,
0.859,513.21179,+,46503.81827,,,2,,35920.50084,0.0,1004.032724,0.0,0.0,0.0,46503.81827,44234.9185,27562.08354,
0.859,450.26141,-,19660.48867,,,2,In-source fragment,19660.48867,1741.902983,0.0,16207.68505,15747.0049,13784.18043,0.0,0.0,0.0,
0.882,473.26373,+,1.676968076E7,,,4,,1.676968076E7,0.0,494.6316298,0.0,0.0,0.0,548379.2953,504273.6051,536928.4696,
0.888,421.31607,+,7774392.023,,,5,,7774392.023,0.0,595601.7553,0.0,0.0,0.0,1170974.823,916852.8204,272821.9216,
0.89,414.21484,+,1525160.659,,,5,Adduct of existing peak,724046.5485,0.0,150326.8141,0.0,0.0,0.0,843466.564,699578.0678,1525160.659,
0.89,311.25751,+,858236.2903,,,2,,858236.2903,0.0,552.2518015,0.0,0.0,0.0,1615.843963,1574.575191,1599.006197,
0.895,434.31152,+,2.467990279E7,,,5,Adduct of existing peak,2.467990279E7,0.0,3242961.29,0.0,0.0,0.0,9813039.38,7802848.668,9221254.617,
0.896,498.31894,+,151094.5725,,,3,,13800.97934,0.0,1434.821398,0.0,0.0,0.0,128262.3306,151094.5725,114623.8992,
0.898,433.22156,-,87883.72909,,,3,Adduct of existing peak,65852.72125,986.396997,0.0,67986.07369,87883.72909,67058.60673,0.0,0.0,0.0,
0.902,395.24252,-,68621.00744,,,4,,60610.65648,2628.491297,0.0,65531.57906,68621.00744,61417.62627,0.0,0.0,0.0,
0.903,463.36331,+,1269792.553,,,4,,1269792.553,0.0,158538.9663,0.0,0.0,0.0,526593.8783,410082.5187,544756.9131,
0.909,323.16751,-,62481.32627,,,3,,45956.00831,3062.244273,0.0,52836.74443,62481.32627,49239.15767,0.0,0.0,0.0,
0.91,410.22018,-,1956143.542,,,5,Adduct of existing peak,1594599.958,475130.5561,0.0,1743250.409,1956143.542,1523437.267,0.0,0.0,0.0,
0.911,974.7981,+,14383.61089,,,2,,7957.477938,0.0,586.6292184,0.0,0.0,0.0,13834.72412,14383.61089,11711.38782,
0.913,599.5473,+,366795.4322,,,4,,316855.2474,0.0,6959.150737,0.0,0.0,0.0,365449.7816,349794.0435,366795.4322,
0.913,812.44482,+,348934.0377,,,4,Adduct of existing peak,348934.0377,0.0,889.7127455,0.0,0.0,0.0,266629.5951,224541.9602,242020.053,
0.915,376.25845,+,7.724113543E7,,,8,,7.724113543E7,2.016085688E7,953.7312639,1.449026587E7,1.412674474E7,1.257642089E7,2524.246867,2459.777419,2497.943166,
0.915,453.16635,+,3512953.466,,,4,Adduct of existing peak,3512953.466,0.0,1141.597706,0.0,0.0,0.0,3391285.066,2861102.722,3176359.006,
0.915,502.27939,+,227064.3284,,,4,,227064.3284,0.0,543.6038149,0.0,0.0,0.0,72696.21541,69896.62243,111689.4588,
0.915,460.41119,+,72948.38661,,,3,,33235.6312,0.0,719.1618842,0.0,0.0,0.0,71498.51808,65297.32408,72948.38661,
0.917,486.42725,+,26600.58813,,,3,,8975.597558,0.0,661.6855015,0.0,0.0,0.0,24915.02225,21167.01695,26600.58813,
0.92,477.37885,+,312609.2266,,,3,,312609.2266,0.0,58729.55988,0.0,0.0,0.0,99736.0131,84701.73696,111515.7316,
0.92,448.32645,+,154858.7409,,,2,,154858.7409,0.0,28260.66389,0.0,0.0,0.0,26399.59039,17973.71551,43075.83247,
