Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M+H]+1,1,1011.35515,1012.36243,4.962,0.088,3,42234.78285,100,F7
FALSE,[M+H]+1,1,325.33412,326.3414,7.455,0.056,2,42230.58624,100,F1
FALSE,[M+H]+1,1,732.4362,733.44348,5.114,0.066,3,42214.07904,100,F1
FALSE,[M+H]+1,1,467.50612,468.5134,15.747,0.128,2,42202.09419,100,F9
FALSE,[M-H]-1,-1,906.47859,905.47131,7.632,0.065,2,42192.65284,100,F4
FALSE,[M+H]+1,1,718.50609,719.51337,11.53,0.125,2,42175.14807,100,F7
FALSE,[M+H]+1,1,683.57109,684.57837,8.622,0.102,3,42165.22303,100,F7
FALSE,[M+H]+1,1,710.32866,711.33594,6.239,0.063,3,42164.56197,100,F9
FALSE,[M-H]-1,-1,1000.63612,999.62885,7.318,0.048,2,42158.2289,100,F6
FALSE,[M-H]-1,-1,610.40687,609.3996,7.258,0.047,3,42158.16252,100,F1
FALSE,[M+H]+1,1,740.18633,741.1936,8.824,0.059,3,42154.83615,100,F3
FALSE,[M+H]+1,1,859.26592,860.27319,12.121,0.071,5,42142.3943,100,F7
FALSE,[M+H]+1,1,679.40581,680.41309,1.709,0.157,3,42133.4414,100,F8
FALSE,[M+H]+1,1,861.52947,862.53674,10.598,0.094,3,42102.9125,100,F7
FALSE,[M+Na]+1,1,871.70066,894.68988,13.647,0.111,2,42100.06035,9.049,F1
FALSE,[M+H]+1,1,864.56304,865.57031,8.287,0.067,2,42097.0469,100,F7
FALSE,[M+H]+1,1,891.64751,892.65479,4.421,0.21,2,42096.60682,100,F1
FALSE,[M+H]+1,1,614.26671,615.27399,6.111,0.116,3,42095.82783,100,F1
FALSE,[M+H]+1,1,784.48693,785.4942,6.911,0.142,3,42094.74613,100,F8
FALSE,[M+H]+1,1,750.62602,751.6333,14.257,0.1,2,42088.06291,100,F1
FALSE,[M+H]+1,1,593.61162,594.6189,11.503,0.134,2,42087.52379,100,F1
FALSE,[M+H]+1,1,900.70079,901.70807,15.189,0.071,3,42075.30595,100,F8
FALSE,[M+H]+1,1,688.59941,689.60669,15.022,0.12,4,42075.20208,100,F8
FALSE,[M+H]+1,1,654.19957,655.20685,0.599,0.041,2,42059.27871,100,F8
FALSE,[M-H]-1,-1,773.59285,772.58557,9.923,0.065,3,42052.40978,100,F5
FALSE,[M-H]-1,-1,1422.951,1421.94373,15.083,0.113,4,42046.27353,100,F4
FALSE,[M+H]+1,1,622.4547,623.46198,7.253,0.054,2,42035.21501,100,F7
FALSE,[M+K]+1,1,886.54661,925.50977,8.328,0.082,2,42007.93357,10.213,F7
FALSE,[M-H]-1,-1,855.53554,854.52826,8.837,0.071,2,42006.67811,100,F5
FALSE,[M+H]+1,1,394.15636,395.16364,0.726,0.088,2,41998.14175,100,F1
FALSE,[M-H]-1,-1,466.30507,465.29779,5.651,0.109,4,41995.6242,100,F6
FALSE,[M+H]+1,1,816.26653,817.2738,4.828,0.084,3,41994.41651,100,F3
FALSE,[M+H]+1,1,790.60924,791.61652,13.428,0.206,2,41987.80483,100,F8
FALSE,[M-H]-1,-1,654.30708,653.2998,4.755,0.082,2,41978.0322,100,F6
FALSE,[M+H]+1,1,502.09975,503.10703,5.49,0.094,4,41971.30259,100,F8
FALSE,[M+H]+1,1,732.54717,733.55444,13.05,0.127,4,41965.46806,100,F1
FALSE,[M+H]+1,1,1010.46276,1011.47003,7.62,0.087,2,41958.2117,100,F1
FALSE,[M-H]-1,-1,732.07326,731.06598,7.281,0.05,5,41953.12646,100,F2
FALSE,[M-H]-1,-1,298.05342,297.04614,13.722,0.084,3,41952.25981,100,F2
FALSE,[M+H]+1,1,848.66869,849.67596,15.313,0.093,2,41946.16705,100,F1
FALSE,[M-H]-1,-1,460.21022,459.20294,0.607,0.047,2,41942.03984,100,F4
FALSE,[M+H]+1,1,886.72399,887.73126,14.133,0.121,3,41939.64679,100,F1
FALSE,[M+H]+1,1,594.52208,595.52936,11.525,0.092,3,41935.37334,0.503,F7
FALSE,[M+H]+1,1,884.53716,885.54443,8.352,0.068,2,41932.96185,100,F8
FALSE,[M+H]+1,1,732.54698,733.55426,13.043,0.122,4,41927.29803,100,F8
FALSE,[M+H]+1,1,606.5584,607.56567,19.349,0.161,3,41925.7923,100,F7
FALSE,[M+H]+1,1,945.56182,946.56909,9.631,0.122,2,41910.19366,100,F7
FALSE,[M+H]+1,1,694.34941,695.35669,6.622,0.087,3,41905.30937,100,F8
FALSE,[M+H]+1,1,1010.46178,1011.46906,7.613,0.083,2,41892.60017,100,F9
FALSE,[M+H]+1,1,781.6574,782.66467,15.671,0.129,3,41886.66313,100,F7
