Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Yeast_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Yeast_Neg_1.raw (F4)+Yeast_Pos_1.raw (F7),Yeast_Neg_2.raw (F5)+Yeast_Pos_2.raw (F8),Yeast_Neg_3.raw (F6)+Yeast_Pos_3.raw (F9),
0.859,513.21179,+,46503.81827,,,2,35920.50084,0.0,1004.032724,46503.81827,44234.9185,27562.08354,
0.882,473.26373,+,1.676968076E7,,,4,1.676968076E7,0.0,494.6316298,548379.2953,504273.6051,536928.4696,
0.888,421.31607,+,7774392.023,,,5,7774392.023,0.0,595601.7553,1170974.823,916852.8204,272821.9216,
0.89,311.25751,+,858236.2903,,,2,858236.2903,0.0,552.2518015,1615.843963,1574.575191,1599.006197,
0.896,498.31894,+,151094.5725,,,3,13800.97934,0.0,1434.821398,128262.3306,151094.5725,114623.8992,
0.902,395.24252,-,68621.00744,,,4,60610.65648,2628.491297,0.0,65531.57906,68621.00744,61417.62627,
0.903,463.36331,+,1269792.553,,,4,1269792.553,0.0,158538.9663,526593.8783,410082.5187,544756.9131,
0.909,323.16751,-,62481.32627,,,3,45956.00831,3062.244273,0.0,52836.74443,62481.32627,49239.15767,
0.911,974.7981,+,14383.61089,,,2,7957.477938,0.0,586.6292184,13834.72412,14383.61089,11711.38782,
0.913,599.5473,+,366795.4322,,,4,316855.2474,0.0,6959.150737,365449.7816,349794.0435,366795.4322,
0.915,376.25845,+,7.724113543E7,,,8,7.724113543E7,2.016085688E7,953.7312639,1.449026587E7,1.412674474E7,1.257642089E7,
0.915,502.27939,+,227064.3284,,,4,227064.3284,0.0,543.6038149,72696.21541,69896.62243,111689.4588,
0.915,460.41119,+,72948.38661,,,3,33235.6312,0.0,719.1618842,71498.51808,65297.32408,72948.38661,
0.917,486.42725,+,26600.58813,,,3,8975.597558,0.0,661.6855015,24915.02225,21167.01695,26600.58813,
0.92,477.37885,+,312609.2266,,,3,312609.2266,0.0,58729.55988,99736.0131,84701.73696,111515.7316,
0.92,448.32645,+,154858.7409,,,2,154858.7409,0.0,28260.66389,26399.59039,17973.71551,43075.83247,
0.925,432.17853,+,128902.9238,,,3,44171.80807,0.0,35841.23562,128902.9238,85307.95259,99699.17864,
0.927,645.11786,-,117733.144,,,4,89245.16488,4344.44603,0.0,100459.5079,116799.1325,117733.144,
0.928,559.23029,+,34300.93668,,,2,8054.357972,0.0,593.7712626,19541.20469,34300.93668,13064.32814,
0.934,561.31653,+,206407.1114,,,4,206407.1114,0.0,4146.166398,64845.98226,54809.0963,47246.87398,
0.934,600.2572,+,29089.74643,,,2,19419.43782,0.0,702.5662537,15213.27177,29089.74643,19564.85868,
0.939,565.4541,+,51363.09403,,,3,36015.99395,0.0,486.5826609,49510.44095,49270.70401,51363.09403,
0.941,686.41949,-,399414.4264,,,5,399414.4264,28282.45951,0.0,354967.3373,396777.7525,365295.7003,
0.942,513.17902,+,413006.5407,,,6,413006.5407,0.0,3116.460492,325453.261,394408.254,318667.1271,
0.943,895.45441,+,30655.52629,,,2,12844.07234,0.0,929.3941537,20577.68604,20839.24189,30655.52629,
0.944,460.26828,+,6711672.479,,,4,6711672.479,0.0,805.8450718,278190.8539,359583.0079,376342.2866,
0.946,311.16782,-,7934680.737,,,5,7934680.737,265671.9641,0.0,7171537.689,7652732.939,7117918.057,
0.948,826.42261,-,34786.38821,,,2,34786.38821,2384.616797,0.0,34554.18615,29191.81137,26279.51719,
0.949,415.21054,+,7.634257706E7,,,10,7.634257706E7,2216.02541,9315.972255,2.022310482E7,2.313133329E7,2.208419384E7,
0.953,355.16687,-,327107.3958,,,5,323878.7878,15415.57764,0.0,316210.0565,327107.3958,281887.3484,
0.954,387.19205,+,2434839.869,,,4,2434839.869,12138.47869,8750.548618,168819.8658,209650.5133,189739.421,
0.959,465.17944,+,735419.3193,,,6,735419.3193,2413.239914,1353.119285,406048.689,402273.1535,398441.0357,
0.959,277.1799,-,77234.77988,,,4,77234.77988,1812.64907,0.0,72244.18692,72159.41996,66816.36557,
0.959,921.31598,-,44912.12823,,,3,35032.57989,2036.404588,0.0,26496.33727,44912.12823,36269.44654,
0.96,700.43396,-,32434.28231,,,3,32434.28231,2013.151161,0.0,29855.76673,23069.66827,25738.68661,
0.963,927.38165,+,66287.85937,,,4,30619.86723,0.0,1024.851583,66287.85937,41513.80603,59857.93363,
0.966,823.37811,+,123547.2008,,,3,123547.2008,0.0,625.0804691,110448.0215,96085.75805,99234.64081,
0.967,554.34406,+,203835.0388,,,4,203835.0388,0.0,795.0529744,184873.4837,183794.6936,172475.4813,
0.972,315.2529,-,65118.53703,,,3,65118.53703,2740.768006,0.0,57133.29787,48312.05281,58136.13735,
0.972,485.15891,+,59866.1663,,,2,22317.29258,0.0,674.6036303,59866.1663,45548.71533,36812.2822,
0.974,628.28809,+,115661.1186,,,2,9537.470859,0.0,749.9955426,11293.36353,66176.5972,115661.1186,
0.974,901.36572,+,19616.68352,,,3,10487.8628,0.0,533.5248614,14654.07381,19616.68352,16048.37334,
0.977,531.15155,+,102613.4699,,,3,49815.34028,0.0,695.869701,102613.4699,101004.239,83070.31073,
0.977,557.21478,+,50570.56944,,,3,8393.263627,0.0,660.0188248,26151.60534,50570.56944,49853.17775,
0.978,441.10855,+,23747.69998,,,2,8508.637498,0.0,669.091449,23747.69998,15953.52225,18652.03949,
0.982,611.14667,+,12978.76305,,,2,6432.119758,0.0,434.9764713,12978.76305,12966.69847,11841.61308,
