Name,Base,Formula,Enabled
O-27:0,Ether,C27H55O1,true
O-27:1,Ether,C27H53O1,true
O-27:2,Ether,C27H51O1,true
O-27:3,Ether,C27H49O1,true
O-27:4,Ether,C27H47O1,true
O-28:0,Ether,C28H57O1,true
O-28:1,Ether,C28H55O1,true
O-28:2,Ether,C28H53O1,true
O-28:3,Ether,C28H51O1,true
O-28:4,Ether,C28H49O1,true
O-29:0,Ether,C29H59O1,true
O-29:1,Ether,C29H57O1,true
O-29:2,Ether,C29H55O1,true
O-29:3,Ether,C29H53O1,true
O-29:4,Ether,C29H51O1,true
O-30:0,Ether,C30H61O1,true
O-30:1,Ether,C30H59O1,true
O-30:2,Ether,C30H57O1,true
O-30:3,Ether,C30H55O1,true
O-30:4,Ether,C30H53O1,true
O-31:0,Ether,C31H63O1,true
O-31:1,Ether,C31H61O1,true
O-31:2,Ether,C31H59O1,true
O-31:3,Ether,C31H57O1,true
O-31:4,Ether,C31H55O1,true
O-32:0,Ether,C32H65O1,true
O-32:1,Ether,C32H63O1,true
O-32:2,Ether,C32H61O1,true
O-32:3,Ether,C32H59O1,true
O-32:4,Ether,C32H57O1,true
O-33:0,Ether,C33H67O1,true
O-33:1,Ether,C33H65O1,true
O-33:2,Ether,C33H63O1,true
O-33:3,Ether,C33H61O1,true
O-33:4,Ether,C33H59O1,true
O-34:0,Ether,C34H69O1,true
O-34:1,Ether,C34H67O1,true
O-34:2,Ether,C34H65O1,true
O-34:3,Ether,C34H63O1,true
O-34:4,Ether,C34H61O1,true
O-35:0,Ether,C35H71O1,true
O-35:1,Ether,C35H69O1,true
O-35:2,Ether,C35H67O1,true
O-35:3,Ether,C35H65O1,true
O-35:4,Ether,C35H63O1,true
O-36:0,Ether,C36H73O1,true
O-36:1,Ether,C36H71O1,true
O-36:2,Ether,C36H69O1,true
O-36:3,Ether,C36H67O1,true
O-36:4,Ether,C36H65O1,true
