Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M+H]+1,1,805.55589,806.56317,8.728,0.116,3,169279172.6,100,F5
FALSE,[M+H]+1,1,783.57189,784.57916,9.321,0.237,2,168080047.4,100,F3
FALSE,[M+H]+1,1,809.58733,810.5946,9.627,0.224,2,166986041,100,F1
FALSE,[M+H]+1,1,732.54344,733.55072,9.103,0.078,2,163880374.9,100,F7
FALSE,[M-H]-1,-1,845.60914,844.60187,9.951,0.096,3,155736383.3,100,F2
FALSE,[M+H]+1,1,813.61791,814.62518,10.809,0.108,4,155352422.4,100,F7
FALSE,[M+H]+1,1,901.80205,902.80933,18.114,0.149,5,154466228.6,100,F7
FALSE,[M-H]-1,-1,791.56306,790.55579,9.109,0.082,4,154372705.2,100,F2
FALSE,[M+H]+1,1,901.80211,902.80939,18.181,0.147,5,152800085.1,100,F5
FALSE,[M+H]+1,1,703.51006,704.51733,8.264,0.1,5,151517271.8,100,F3
FALSE,[M+H]+1,1,811.60253,812.6098,10.088,0.253,3,150658420.7,100,F3
FALSE,[M-H]-1,-1,791.5627,790.55542,9.113,0.108,6,150275928,100,F1
FALSE,[M+H]+1,1,758.55895,759.56622,9.212,0.155,2,150216576.1,100,F5
FALSE,[M+H]+1,1,761.57744,762.58472,9.895,0.115,4,149303493.3,100,F3
FALSE,[M+H]+1,1,521.34459,522.35187,1.76,0.118,5,146772274.1,100,F1
FALSE,[M+H]+1,1,811.60332,812.6106,10.286,0.098,5,146553058.6,100,F1
FALSE,[M+H]+1,1,495.32891,496.33618,1.563,0.169,4,145131522.3,100,F1
FALSE,[M+H]+1,1,809.58684,810.59412,9.681,0.204,2,143780318.5,100,F5
FALSE,[M-H]-1,-1,791.54243,790.53516,9.819,0.078,2,140887316.9,65.345,F1
FALSE,[M+H]+1,1,811.60271,812.60999,10.259,0.098,6,138353304.8,100,F7
FALSE,[M+H]+1,1,805.55602,806.56329,8.683,0.088,3,137234044,100,F7
FALSE,[M+H]+1,1,901.80217,902.80945,18.156,0.132,6,136887566.3,100,F3
FALSE,[M+H]+1,1,847.7567,848.76398,17.405,0.215,5,136775907.2,100,F7
FALSE,[M+H]+1,1,811.60289,812.61017,10.331,0.094,6,136395301.2,100,F5
FALSE,[M-H]-1,-1,791.56294,790.55566,9.105,0.101,6,136096666.5,100,F6
FALSE,[M+H]+1,1,811.60253,812.6098,10.289,0.09,6,134092804,100,F3
FALSE,[M+H]+1,1,813.61791,814.62518,10.886,0.113,5,133407665.2,100,F5
FALSE,[M+H]+1,1,729.52513,730.53241,8.689,0.091,3,133330455.7,100,F7
FALSE,[M+H]+1,1,783.57176,784.57904,9.327,0.147,2,131417441.9,100,F7
FALSE,[M+H]+1,1,761.57805,762.58533,9.886,0.116,4,130838805.6,100,F1
FALSE,[M+H]+1,1,761.57713,762.58441,9.86,0.114,4,129541167.2,100,F7
FALSE,[M+H]+1,1,813.61803,814.62531,10.838,0.108,5,129276779.6,100,F3
FALSE,[M+H]+1,1,761.5772,762.58447,9.93,0.115,4,128432962.8,100,F5
FALSE,[M+H]+1,1,706.52788,707.53516,8.938,0.067,5,126827745.8,100,F5
FALSE,[M+H]+1,1,706.528,707.53528,8.875,0.068,5,126824880.1,100,F7
FALSE,[M+H]+1,1,706.52873,707.53601,8.9,0.068,4,126138848.2,100,F1
FALSE,[M+H]+1,1,809.58696,810.59424,9.626,0.174,2,126046341.9,100,F7
FALSE,[M+H]+1,1,706.52806,707.53534,8.903,0.068,5,125948742.9,100,F3
FALSE,[M+H]+1,1,805.55608,806.56335,8.706,0.088,3,125086470.4,100,F3
FALSE,[M+H]+1,1,773.58843,774.5957,10.363,0.087,5,124240262,100,F1
FALSE,[M-H]-1,-1,791.56282,790.55554,9.089,0.09,5,124056086.9,100,F4
FALSE,[M+H]+1,1,847.75615,848.76343,17.484,0.204,4,123964064.4,100,F5
FALSE,[M+H]+1,1,783.57176,784.57904,9.604,0.106,3,121553004.8,100,F7
FALSE,[M+H]+1,1,831.57085,832.57813,8.788,0.093,5,121032863.5,100,F5
FALSE,[M+H]+1,1,521.34374,522.35101,1.751,0.121,5,119428526.7,100,F7
FALSE,[M-H]-1,-1,791.56282,790.55554,8.973,0.128,4,119127291.4,100,F4
FALSE,[M+H]+1,1,831.57158,832.57886,8.754,0.092,5,118795189.8,100,F1
FALSE,[M+H]+1,1,773.58757,774.59485,10.335,0.09,4,118543990.9,100,F7
FALSE,[M+H]+1,1,773.58782,774.59509,10.365,0.089,5,118316654.6,100,F3
FALSE,[M-H]-1,-1,765.52644,764.51917,9.243,0.092,4,117954472.5,57.816,F1
FALSE,[M+H]+1,1,729.52599,730.53326,8.712,0.088,3,117870277.4,100,F1
FALSE,[M+H]+1,1,729.52544,730.53271,8.715,0.086,4,116931434.4,100,F3
FALSE,[M+H]+1,1,901.80345,902.81073,18.135,0.119,2,116289437,100,F1
FALSE,[M+H]+1,1,521.34374,522.35101,1.756,0.12,5,115940204,100,F3
FALSE,[M+H]+1,1,521.34416,522.35144,1.767,0.115,5,114351680.5,100,F5
FALSE,[M+H]+1,1,773.58824,774.59552,10.411,0.087,5,113842047.3,100,F5
FALSE,[M+H]+1,1,831.57097,832.57825,8.735,0.094,5,113242811.5,100,F7
FALSE,[M-H]-1,-1,765.5265,764.51923,9.221,0.085,4,112882307.1,100,F4
FALSE,[M+H]+1,1,783.57189,784.57916,9.672,0.106,3,111246198.3,100,F5
FALSE,[M+H]+1,1,783.57189,784.57916,9.638,0.11,3,111082313.7,100,F3
FALSE,[M+H]+1,1,811.60289,812.61017,10.123,0.207,2,110555172.5,100,F5
FALSE,[M+H]+1,1,831.57097,832.57825,8.756,0.096,6,109391630.5,100,F3
FALSE,[M+H]+1,1,734.5598,735.56708,9.783,0.072,4,109321945.7,100,F7
FALSE,[M+H]+1,1,734.55998,735.56726,9.819,0.072,5,108750139.5,100,F3
FALSE,[M+H]+1,1,703.56554,704.57281,8.807,0.075,4,108190373,100,F1
FALSE,[M+H]+1,1,847.75664,848.76392,17.441,0.209,4,107377924.4,100,F3
FALSE,[M+H]+1,1,809.58672,810.59399,9.666,0.16,2,107268862.3,100,F3
FALSE,[M+H]+1,1,703.56481,704.57208,8.85,0.073,4,106884925.2,100,F5
FALSE,[M+H]+1,1,734.56066,735.56793,9.81,0.069,4,106744038.8,100,F1
FALSE,[M+H]+1,1,703.56468,704.57196,8.782,0.076,4,106332535.4,100,F7
FALSE,[M+H]+1,1,873.77202,874.7793,17.452,0.243,2,105720794.5,100,F7
FALSE,[M-H]-1,-1,765.5265,764.51923,9.233,0.085,4,105553018.7,100,F6
FALSE,[M+H]+1,1,703.56474,704.57202,8.81,0.075,5,105340553.1,100,F3
FALSE,[M-H]-1,-1,765.52608,764.5188,9.238,0.09,4,105333102.1,100,F2
FALSE,[M-H]-1,-1,817.57789,816.57062,9.169,0.169,5,104813415.4,100,F1
FALSE,[M+H]+1,1,811.60332,812.6106,10.09,0.178,2,104629901.1,100,F1
FALSE,[M+H]+1,1,717.52617,718.53345,10.168,0.086,5,103151149.7,100,F3
FALSE,[M+H]+1,1,734.55998,735.56726,9.856,0.072,4,103001195.2,100,F5
FALSE,[M+H]+1,1,717.5258,718.53308,10.134,0.092,5,101973650.4,100,F7
FALSE,[M+H]+1,1,495.3282,496.33548,1.547,0.144,3,101436588.9,100,F7
FALSE,[M+H]+1,1,903.81871,904.82599,18.82,0.114,5,100855912.8,100,F7
FALSE,[M-H]-1,-1,717.5262,716.51892,10.16,0.089,5,100847468,50.672,F1
FALSE,[M+H]+1,1,732.54411,733.55139,9.134,0.059,3,100839566.8,100,F1
FALSE,[M+H]+1,1,303.29039,304.29767,2.164,0.115,4,100693241.1,100,F1
FALSE,[M+H]+1,1,551.59667,552.60394,13.647,0.176,5,100421233.4,100,F5
FALSE,[M+H]+1,1,755.54039,756.54767,8.508,0.2,3,100166681.3,100,F7
FALSE,[M+H]+1,1,551.59697,552.60425,13.62,0.182,5,98881464.46,100,F1
FALSE,[M-H]-1,-1,717.52669,716.51941,10.137,0.081,5,98228744.13,100,F4
FALSE,[M+H]+1,1,717.52654,718.53381,10.16,0.086,5,98171298.53,49.328,F1
FALSE,[M+H]+1,1,717.52605,718.53333,10.21,0.09,5,98168210.9,100,F5
FALSE,[M+H]+1,1,551.59661,552.60388,13.554,0.18,5,98117313.04,100,F7
FALSE,[M+H]+1,1,783.57231,784.57959,9.625,0.113,2,98013925.56,100,F1
FALSE,[M+H]+1,1,873.77178,874.77905,17.528,0.227,2,97408074.95,100,F5
FALSE,[M+H]+1,1,303.29,304.29727,2.118,0.121,4,97137123.88,100,F3
FALSE,[M+H]+1,1,303.29012,304.29739,2.12,0.118,4,96605954.78,100,F7
FALSE,[M+H]+1,1,903.81871,904.82599,18.891,0.119,5,96549805.75,100,F5
FALSE,[M-H]-1,-1,717.52675,716.51947,10.158,0.093,5,96137699.67,100,F2
FALSE,[M-H]-1,-1,717.52675,716.51947,10.155,0.082,5,95832149.57,100,F6
FALSE,[M+H]+1,1,755.54112,756.5484,8.516,0.199,3,95799074.62,100,F1
FALSE,[M-H]-1,-1,762.58394,761.57666,8.807,0.073,5,94807503.38,100,F1
FALSE,[M+H]+1,1,755.54033,756.54761,8.564,0.212,3,94688766.78,100,F5
FALSE,[M+H]+1,1,903.81981,904.82709,18.851,0.109,4,94404287.23,100,F1
FALSE,[M+H]+1,1,717.52593,718.5332,8.596,0.214,4,94380354.98,100,F1
FALSE,[M+H]+1,1,903.8189,904.82617,18.858,0.116,5,93570029.03,100,F3
FALSE,[M+H]+1,1,551.59667,552.60394,13.593,0.174,5,92883508.26,100,F3
FALSE,[M+H]+1,1,303.29006,304.29733,2.193,0.119,4,92648116.38,100,F5
FALSE,[M-H]-1,-1,789.54732,788.54004,9.502,0.158,2,92493389.27,100,F2
FALSE,[M-H]-1,-1,817.57796,816.57068,9.168,0.098,2,92377387.93,100,F6
FALSE,[M+H]+1,1,873.77184,874.77911,17.485,0.231,2,92017426.34,100,F3
FALSE,[M+H]+1,1,495.32817,496.33545,1.547,0.119,4,91283076.84,100,F3
FALSE,[M-H]-1,-1,707.6385,706.63123,13.026,0.092,5,91105197.21,100,F2
FALSE,[M+H]+1,1,771.57274,772.58002,9.491,0.097,4,90906912.69,100,F1
FALSE,[M-H]-1,-1,707.63826,706.63098,13.042,0.084,6,90673574.95,100,F1
FALSE,[M+H]+1,1,729.52507,730.53235,8.752,0.076,3,90183780.66,100,F5
FALSE,[M+H]+1,1,703.51006,704.51733,8.156,0.063,5,90160687.29,100,F3
FALSE,[M+H]+1,1,591.66411,592.67139,18.022,0.084,3,90096431.47,100,F1
FALSE,[M+H]+1,1,703.50969,704.51697,8.188,0.066,5,89983666.97,100,F5
FALSE,[M-H]-1,-1,791.5627,790.55542,8.988,0.09,4,89969577.43,100,F1
FALSE,[M-H]-1,-1,762.58406,761.57678,8.801,0.077,6,86377985.71,100,F2
FALSE,[M+H]+1,1,765.52562,766.5329,9.244,0.079,3,86061610.92,42.184,F1
FALSE,[M+H]+1,1,765.52495,766.53223,9.283,0.081,4,85563613.95,100,F5
FALSE,[M+H]+1,1,755.54027,756.54755,8.533,0.168,2,85452575.13,100,F3
FALSE,[M+H]+1,1,771.57256,772.57983,9.532,0.097,4,85144720.78,100,F5
FALSE,[M-H]-1,-1,707.63856,706.63129,13.011,0.083,5,84953972.62,100,F4
FALSE,[M-H]-1,-1,707.63832,706.63104,13.037,0.085,5,84755931.42,100,F6
FALSE,[M-H]-1,-1,762.58394,761.57666,8.784,0.074,6,84504718.96,100,F4
FALSE,[M+H]+1,1,771.57164,772.57892,9.468,0.096,4,84389701.96,100,F7
FALSE,[M-H]-1,-1,762.58369,761.57642,8.799,0.07,6,84371928.84,100,F6
FALSE,[M+H]+1,1,849.77245,850.77972,18.149,0.092,5,83453510.09,100,F7
FALSE,[M+H]+1,1,849.77245,850.77972,18.218,0.091,5,83151941.41,100,F5
FALSE,[M+H]+1,1,765.52446,766.53174,9.22,0.08,4,82788076.49,100,F7
FALSE,[M+H]+1,1,771.57182,772.5791,9.499,0.095,4,82664232.04,100,F3
FALSE,[M+H]+1,1,677.49468,678.50195,8.065,0.055,5,82287342.66,100,F1
FALSE,[M+H]+1,1,765.52507,766.53235,9.25,0.081,4,82050753.77,100,F3
FALSE,[M-H]-1,-1,884.53578,883.5285,7.885,0.066,6,81563849.72,100,F2
FALSE,[M+H]+1,1,847.75725,848.76453,17.412,0.11,3,80920361.05,100,F1
FALSE,[M+H]+1,1,849.77312,850.7804,18.173,0.092,5,80289251.02,100,F1
FALSE,[M+H]+1,1,833.588,834.59528,9.567,0.07,2,79240327.86,100,F1
FALSE,[M+H]+1,1,833.58666,834.59393,9.544,0.07,2,78841886.73,100,F7
FALSE,[M-H]-1,-1,787.53114,786.52386,8.974,0.063,2,78535472.42,100,F1
FALSE,[M+H]+1,1,833.58684,834.59412,9.609,0.071,2,78065709.91,100,F5
FALSE,[M-H]-1,-1,789.54713,788.53986,9.497,0.139,2,77497346.19,100,F6
FALSE,[M+H]+1,1,703.50987,704.51715,8.134,0.061,4,77458230.02,100,F7
FALSE,[M-H]-1,-1,788.53572,787.52844,8.955,0.065,3,76986293.53,100,F4
FALSE,[M-H]-1,-1,888.56691,887.55963,9.082,0.056,5,76696353.99,100,F4
FALSE,[M+H]+1,1,833.5869,834.59418,9.576,0.07,2,76593687.72,100,F3
FALSE,[M-H]-1,-1,765.54609,764.53882,8.9,0.061,5,76343748.49,100,F1
FALSE,[M+H]+1,1,677.49413,678.5014,8.046,0.054,5,76263737.28,100,F7
FALSE,[M+H]+1,1,495.32851,496.33578,1.558,0.096,4,75956394.64,100,F5
FALSE,[M+H]+1,1,717.56267,718.56995,9.676,0.081,5,75741867.97,100,F1
FALSE,[M+H]+1,1,849.77269,850.77997,18.183,0.093,5,75581762.27,100,F3
FALSE,[M+H]+1,1,783.57176,784.57904,9.2,0.095,2,75537908.48,100,F7
FALSE,[M-H]-1,-1,715.51088,714.5036,9.304,0.187,3,74989230.11,58.771,F1
FALSE,[M+H]+1,1,809.58696,810.59424,9.84,0.071,3,74967909.82,100,F7
FALSE,[M-H]-1,-1,884.53584,883.52856,7.868,0.061,6,74964009.93,100,F4
FALSE,[M+H]+1,1,791.54094,792.54822,9.808,0.068,3,74719421.36,34.655,F1
FALSE,[M-H]-1,-1,888.56746,887.56018,9.11,0.068,5,74538950.12,100,F2
FALSE,[M+H]+1,1,677.49431,678.50159,8.097,0.055,5,74421549.02,100,F5
FALSE,[M+H]+1,1,809.58733,810.5946,9.865,0.068,2,74394224.24,100,F1
FALSE,[M+H]+1,1,677.49443,678.50171,8.067,0.055,5,74373656.66,100,F3
FALSE,[M+H]+1,1,809.58684,810.59412,9.91,0.067,2,74268353.63,100,F5
FALSE,[M+H]+1,1,873.77226,874.77954,17.506,0.141,2,74236194.24,100,F1
FALSE,[M+H]+1,1,717.56218,718.56946,9.682,0.093,5,74148722.78,100,F3
FALSE,[M-H]-1,-1,884.53541,883.52814,7.872,0.059,6,74130340.27,91.439,F1
FALSE,[M-H]-1,-1,765.54603,764.53876,8.877,0.064,6,73929130.09,100,F4
FALSE,[M+H]+1,1,791.54039,792.54767,9.818,0.07,3,73758443,100,F3
FALSE,[M-H]-1,-1,888.56691,887.55963,9.101,0.055,5,73163797.04,100,F6
FALSE,[M-H]-1,-1,817.57802,816.57074,9.161,0.106,3,73087687.33,100,F2
FALSE,[M+H]+1,1,791.54033,792.54761,9.853,0.069,3,72494335.16,100,F5
FALSE,[M-H]-1,-1,765.54603,764.53876,8.891,0.06,5,72166304.65,100,F6
FALSE,[M-H]-1,-1,817.57802,816.57074,9.148,0.097,2,72156325.34,100,F4
FALSE,[M-H]-1,-1,872.69337,871.6861,11.792,0.097,5,72064476.09,100,F2
FALSE,[M-H]-1,-1,776.55226,775.54498,9.443,0.08,3,71701561.14,100,F2
FALSE,[M+H]+1,1,791.54015,792.54742,9.783,0.069,3,71526055.57,100,F7
FALSE,[M-H]-1,-1,872.69313,871.68585,11.791,0.082,5,71311151.14,100,F1
FALSE,[M+H]+1,1,805.55638,806.56366,8.51,0.071,5,71244796.67,100,F1
FALSE,[M-H]-1,-1,776.55232,775.54504,9.418,0.07,3,71122831.58,100,F4
FALSE,[M+H]+1,1,717.562,718.56927,9.722,0.081,5,71108945.9,100,F5
FALSE,[M+H]+1,1,717.56206,718.56934,9.649,0.082,4,71092571.08,100,F7
FALSE,[M+H]+1,1,813.61791,814.62518,11.017,0.103,2,70817736.07,100,F5
FALSE,[M+H]+1,1,703.51055,704.51782,8.151,0.055,5,70458448.19,100,F1
FALSE,[M-H]-1,-1,884.53547,883.5282,7.875,0.063,6,69903657.22,100,F6
FALSE,[M+H]+1,1,809.58672,810.59399,9.874,0.072,2,69886979.95,100,F3
FALSE,[M-H]-1,-1,529.31312,528.30585,1.812,0.103,4,69864065.91,54.735,F1
FALSE,[M-H]-1,-1,776.55232,775.54504,9.438,0.068,3,69817349.97,96.805,F1
FALSE,[M+H]+1,1,811.60289,812.61017,10.641,0.071,4,69336104.55,100,F5
FALSE,[M+H]+1,1,813.61803,814.62531,10.966,0.095,2,69318958.05,100,F3
FALSE,[M-H]-1,-1,789.54744,788.54016,9.529,0.169,2,69276606.74,61.802,F1
FALSE,[M+H]+1,1,811.60332,812.6106,10.593,0.072,3,68825567.27,100,F1
FALSE,[M-H]-1,-1,765.54634,764.53906,8.892,0.066,5,68449921.49,100,F2
FALSE,[M+H]+1,1,717.52526,718.53253,8.547,0.116,4,68335431.55,100,F7
FALSE,[M+H]+1,1,755.54112,756.5484,8.759,0.11,2,67911349.54,100,F1
FALSE,[M-H]-1,-1,872.69337,871.6861,11.772,0.085,5,67763434.19,100,F4
FALSE,[M-H]-1,-1,748.52107,747.51379,8.633,0.073,4,66592480.09,97.839,F1
FALSE,[M+H]+1,1,727.50914,728.51642,7.971,0.343,2,66433537.34,100,F3
